Key,English,Filipino
PROPCTRL_TXT_000103,Wooden Yellow Table,Kahoy na Dilaw na Mesa
PROPCTRL_TXT_000104,Wooden Yellow Dressing Table,Kahoy na Dilaw na Dressing Table
PROPCTRL_TXT_000105,Wooden Yellow Closet,Kahoy na Dilaw na Closet
PROPCTRL_TXT_000106,Wooden Yellow Bench,Kahoy na Dilaw na Bangko
PROPCTRL_TXT_000107,Wooden Yellow Cabinet,Kahoy na Dilaw na Cabinet
PROPCTRL_TXT_000108,Wooden Yellow Bed,Kahoy na Dilaw na Kama
PROPCTRL_TXT_000109,Wooden Blue Chair,Kahoy na Asul na Upuan
PROPCTRL_TXT_000110,Wooden Blue Table,Kahoy na Asul na Mesa
PROPCTRL_TXT_000111,Wooden Blue Dressing Table,Kahoy na Asul na Dressing Table
PROPCTRL_TXT_000112,Wooden Blue Closet,Kahoy na Asul na Closet
PROPCTRL_TXT_000113,Wooden Blue Bench,Kahoy na Asul na Bangko
PROPCTRL_TXT_000114,Wooden Blue Cabinet,Kahoy na Asul na Cabinet
PROPCTRL_TXT_000115,Wooden Blue Bed,Kahoy na Asul na Kama
PROPCTRL_TXT_000116,Wooden Red Chair,Kahoy na Pula na Upuan
PROPCTRL_TXT_000117,Wooden Red Table,Kahoy na Pula na Mesa
PROPCTRL_TXT_000118,Wooden Red Dressing Table,Kahoy na Pula na Dressing Table
PROPCTRL_TXT_000119,Wooden Red Closet,Kahoy na Pula na Closet
PROPCTRL_TXT_000120,Wooden Red Bench,Kahoy na Pula na Bangko
PROPCTRL_TXT_000121,Wooden Red Cabinet,Kahoy na Pula na Cabinet
PROPCTRL_TXT_000122,Wooden Red Bed,Kahoy na Pula na Kama
PROPCTRL_TXT_000123,Music Chair,Music Upuan
PROPCTRL_TXT_000124,Music Table,Music Mesa
PROPCTRL_TXT_000125,Music Dressing Table,Music Dressing Table
PROPCTRL_TXT_000126,Music Wardrobe,Music Wardrobe
PROPCTRL_TXT_000127,Music Sofa,Music Sofa
PROPCTRL_TXT_000128,Music Cabinet,Music Cabinet
PROPCTRL_TXT_000129,Music Bed,Music Kama
PROPCTRL_TXT_000130,Heart Chair,Heart Upuan
PROPCTRL_TXT_000131,Heart Table,Heart Mesa
PROPCTRL_TXT_000132,Heart Dressing Table,Heart Dressing Table
PROPCTRL_TXT_000133,Heart Wardrobe,Heart Wardrobe
PROPCTRL_TXT_000134,Heart Sofa,Heart Sofa
PROPCTRL_TXT_000135,Heart Cabinet,Heart Cabinet
PROPCTRL_TXT_000136,Heart Bed,Heart Kama
PROPCTRL_TXT_000137,Modern Chair,Modern Upuan
PROPCTRL_TXT_000138,Modern Table,Modern Mesa
PROPCTRL_TXT_000139,Modern Dressing Table,Modern Dressing Table
PROPCTRL_TXT_000140,Modern Wardrobe,Modern Wardrobe
PROPCTRL_TXT_000141,Modern Sofa,Modern Sofa
PROPCTRL_TXT_000142,Modern Cabinet,Modern Cabinet
PROPCTRL_TXT_000143,Modern Bed,Modern Kama
PROPCTRL_TXT_000144,Royal Chair,Royal Upuan
PROPCTRL_TXT_000145,Royal Table,Royal Mesa
PROPCTRL_TXT_000146,Royal Dressing Table,Royal Dressing Table
PROPCTRL_TXT_000147,Royal Wardrobe,Royal Wardrobe
PROPCTRL_TXT_000148,Royal Sofa,Royal Sofa
PROPCTRL_TXT_000149,Royal Bed,Royal Kama
PROPCTRL_TXT_000150,Royal Drawer,Royal Drawer
PROPCTRL_TXT_000151,Royal Bookcase,Royal Bookcase
PROPCTRL_TXT_000152,Royal Desk,Royal Desk
PROPCTRL_TXT_000153,Royal Bath,Royal Banyo
PROPCTRL_TXT_000154,Golden Royal Chair,Gintong Royal Upuan
PROPCTRL_TXT_000155,Golden Royal Table,Gintong Royal Mesa
PROPCTRL_TXT_000156,Golden Royal Dressing Table,Gintong Royal Dressing Table
PROPCTRL_TXT_000157,Golden Royal Wardrobe,Gintong Royal Wardrobe
PROPCTRL_TXT_000158,Golden Royal Sofa,Gintong Royal Sofa
PROPCTRL_TXT_000159,Golden Royal Bed,Gintong Royal Kama
PROPCTRL_TXT_000160,Golden Royal Drawer,Gintong Royal Drawer
PROPCTRL_TXT_000161,Golden Royal Bookcase,Gintong Royal Bookcase
PROPCTRL_TXT_000162,Golden Royal Desk,Gintong Royal Desk
PROPCTRL_TXT_000163,Golden Royal Bath,Gintong Royal Banyo
PROPCTRL_TXT_000164,Design Black Chair,Design Itim na Upuan
PROPCTRL_TXT_000165,Design White Chair,Design Puting Upuan
PROPCTRL_TXT_000166,Design Table,Design Mesa
PROPCTRL_TXT_000167,Design Drawer,Design Drawer
PROPCTRL_TXT_000168,Design Bookcase,Design Bookcase
PROPCTRL_TXT_000169,Design Sofa,Design Sofa
PROPCTRL_TXT_000170,Wooden Chair,Kahoy na Upuan
PROPCTRL_TXT_000171,Wooden Table,Kahoy na Mesa
PROPCTRL_TXT_000172,Wooden Drawer,Kahoy na Drawer
PROPCTRL_TXT_000173,Wooden Bookcase,Kahoy na Bookcase
PROPCTRL_TXT_000174,Wooden Sofa,Kahoy na Sofa
PROPCTRL_TXT_000175,Flaris Ground Field,Flaris Ground Field
PROPCTRL_TXT_000176,Flaris Anvil,Flaris Alulod
PROPCTRL_TXT_000177,Flaris Bench,Flaris Bangko
PROPCTRL_TXT_000178,Flaris Charrette,Flaris Charrette
PROPCTRL_TXT_000179,Flaris Fence 1,Bakod ng Flaris 1
PROPCTRL_TXT_000180,Flaris Floor Lamp,Flaris Floor Lamp
PROPCTRL_TXT_000181,Flaris Wall Lamp,Flaris Wall Lamp
PROPCTRL_TXT_000182,Flaris Pot 1,Flaris Paso 1
PROPCTRL_TXT_000183,Flaris Small Sign,Maliit na Sign ng Flaris
PROPCTRL_TXT_000184,Flaris Medium Sign,Medium na Sign ng Flaris
PROPCTRL_TXT_000185,Flaris Large Sign,Malaking Sign ng Flaris
PROPCTRL_TXT_000186,Flaris Boat Sign,Sign ng Barko ng Flaris
PROPCTRL_TXT_000187,Flaris Rotating Sign,Paikot-ikot na Sign ng Flaris
PROPCTRL_TXT_000188,Common Green Tree 1,Karaniwang Green Tree 1
PROPCTRL_TXT_000189,Common Wooden Box 1,Karaniwang Kahoy na Kahon 1
PROPCTRL_TXT_000190,Common Wooden Box Pile 1,Karaniwang Bunton ng Kahoy na Kahon 1
PROPCTRL_TXT_000191,Common Wooden Barrel 1,Karaniwang Kahoy na Bariles 1
PROPCTRL_TXT_000192,Common Wooden Barrel Pile 1,Karaniwang Bunton ng Kahoy na Bariles 1
PROPCTRL_TXT_000193,Common Flowers 1,Karaniwang Bulaklak 1
PROPCTRL_TXT_000194,Common Grass 1,Karaniwang Damo 1
PROPCTRL_TXT_000195,Common Mushroom 1,Karaniwang Kabute 1
PROPCTRL_TXT_000196,Common Rock 1,Karaniwang Bato 1
PROPCTRL_TXT_000197,Common Autumn Tree,Karaniwang Puno ng Taglagas
PROPCTRL_TXT_000198,Common Sakura Tree 1,Karaniwang Puno ng Sakura 1
PROPCTRL_TXT_000199,Common Burned Tree,Karaniwang Nasunog na Puno
PROPCTRL_TXT_000200,St Morning Bench,St Morning Bangko
PROPCTRL_TXT_000201,St Morning Charrette,St Morning Charrette
PROPCTRL_TXT_000202,St Morning Rock Arch 1,St Morning Rock Arch 1
PROPCTRL_TXT_000203,St Morning Flag 1,St Morning Bandila 1
PROPCTRL_TXT_000204,St Morning Flower Bed,St Morning Bulaklak na Hardin
PROPCTRL_TXT_000205,St Morning Rock 1,St Morning Bato 1
PROPCTRL_TXT_000206,St Morning Light 1,St Morning Ilaw 1
PROPCTRL_TXT_000207,St Morning Sign,St Morning Sign
PROPCTRL_TXT_000208,Darkon Wagon 1,Darkon Kariton 1
PROPCTRL_TXT_000209,Darkon Sign 1,Darkon Sign 1
PROPCTRL_TXT_000210,Darkon Big Box 1,Darkon Malaking Kahon 1
PROPCTRL_TXT_000211,Darkon Brown Rock 1,Darkon Kayumangging Bato 1
PROPCTRL_TXT_000212,Darkon Barrel 1,Darkon Bariles 1
PROPCTRL_TXT_000213,Darkon Ground Window,Darkon Ground Window
PROPCTRL_TXT_000214,Darkon Light 1,Darkon Ilaw 1
PROPCTRL_TXT_000215,Darkon Mushroom 1,Darkon Kabute 1
PROPCTRL_TXT_000216,Darkon Tree 1,Darkon Puno 1
PROPCTRL_TXT_000217,Darkon Plant,Darkon Halaman
PROPCTRL_TXT_000218,Azria Plant 1,Azria Halaman 1
PROPCTRL_TXT_000219,Azria Tree 1,Azria Puno 1
PROPCTRL_TXT_000220,Azria Light 1,Azria Ilaw 1
PROPCTRL_TXT_000221,Azria Rock 1,Azria Bato 1
PROPCTRL_TXT_000222,Azria Mushroom 1,Azria Kabute 1
PROPCTRL_TXT_000223,Azria Charrette,Azria Charrette
PROPCTRL_TXT_000224,Azria Crystal,Azria Kristal
PROPCTRL_TXT_000225,Azria Grass 1,Azria Damo 1
PROPCTRL_TXT_000226,Azria Sign 1,Azria Sign 1
PROPCTRL_TXT_000227,Azria Box Pile,Azria Bunton ng Kahon
PROPCTRL_TXT_000228,Azria Box 1,Azria Kahon 1
PROPCTRL_TXT_000229,Coral Island Tree 1,Puno ng Coral Island 1
PROPCTRL_TXT_000230,Coral Island Shellfish 1,Kabibe ng Coral Island 1
PROPCTRL_TXT_000231,Coral Island Coral 1,Coral ng Coral Island 1
PROPCTRL_TXT_000232,Coral Island Starfish 1,Starfish ng Coral Island 1
PROPCTRL_TXT_000233,Coral Island Table 1,Mesa ng Coral Island 1
PROPCTRL_TXT_000234,Coral Island Beach Umbrella ,Payong sa Dalampasigan ng Coral Island
PROPCTRL_TXT_000235,Basic Wall,Pangkaraniwang Pader
PROPCTRL_TXT_000236,Flaris Wall,Pader ng Flaris
PROPCTRL_TXT_000237,Cove Wall,Pader ng Cove
PROPCTRL_TXT_000238,Coral Island Wall,Pader ng Coral Island
PROPCTRL_TXT_000239,Forsaken Wall,Pader ng Forsaken
PROPCTRL_TXT_000240,Secret Wall,Lihim na Pader
PROPCTRL_TXT_000241,Colosseum Wall,Pader ng Colosseum
PROPCTRL_TXT_000242,Darkon Light Wall,Pader ng Ilaw ng Darkon
PROPCTRL_TXT_000243,Darkon Wooden Wall,Kahoy na Pader ng Darkon
PROPCTRL_TXT_000244,Darkon Metal Wall,Metal na Pader ng Darkon
PROPCTRL_TXT_000245,Mechanical Wall,Mechanical na Pader
PROPCTRL_TXT_000246,Cottage Wall,Pader ng Cottage
PROPCTRL_TXT_000247,Ivillis Wall,Pader ng Ivillis
PROPCTRL_TXT_000248,Royal Wall,Royal na Pader
PROPCTRL_TXT_000249,Plain Wall,Simpleng Pader
PROPCTRL_TXT_000250,Deck Wall,Deck na Pader
PROPCTRL_TXT_000251,Forest Wall,Pader ng Gubat
PROPCTRL_TXT_000252,Metallic Wall,Metaliko na Pader
PROPCTRL_TXT_000253,Construction Wall,Pader ng Konstruksyon
PROPCTRL_TXT_000254,Saint Morning Wall,Pader ng Saint Morning
PROPCTRL_TXT_000255,Basic Floor,Pangkaraniwang Sahig
PROPCTRL_TXT_000256,White Floor,Puting Sahig
PROPCTRL_TXT_000257,Bordered Cove Floor,Sahig ng Bordered Cove
PROPCTRL_TXT_000258,Plain Cove Floor,Plain na Sahig ng Cove
PROPCTRL_TXT_000259,Small Plank Floor,Maliit na Plank na Sahig
PROPCTRL_TXT_000260,Crate Floor,Sahig ng Kahon
PROPCTRL_TXT_000261,Platform Floor,Plataporma na Sahig
PROPCTRL_TXT_000262,Light Plank Floor,Maliwanag na Plank na Sahig
PROPCTRL_TXT_000263,Light Brick Floor,Maliwanag na Brick na Sahig
PROPCTRL_TXT_000264,Scrapwood Floor,Sahig ng Scrapwood
PROPCTRL_TXT_000265,Pale Wood Floor,Mapusyaw na Kahoy na Sahig
PROPCTRL_TXT_000266,Mossy Brick Floor,Mossy Brick na Sahig
PROPCTRL_TXT_000267,Shipwreck Floor,Sahig ng Shipwreck
PROPCTRL_TXT_000268,Construction Floor,Sahig ng Konstruksyon
PROPCTRL_TXT_000269,Mars Floor,Sahig ng Mars
PROPCTRL_TXT_000270,Forsaken Brick Floor,Forsaken Brick na Sahig
PROPCTRL_TXT_000271,Ominous Floor,Ominous na Sahig
PROPCTRL_TXT_000272,Golden Floor,Gintong Sahig
PROPCTRL_TXT_000273,Bordered Secret Floor,Sahig ng Bordered Secret
PROPCTRL_TXT_000274,Plain Secret Floor,Plain na Sahig ng Secret
PROPCTRL_TXT_000275,Darkon Wooden Plain Floor,Simpleng Kahoy na Sahig ng Darkon
PROPCTRL_TXT_000276,Darkon Wooden Mosaic Floor,Mosaic na Kahoy na Sahig ng Darkon
PROPCTRL_TXT_000277,Forsaken Blue Floor,Forsaken Blue na Sahig
PROPCTRL_TXT_000278,Plain Forsaken Blue Floor,Plain na Forsaken Blue na Sahig
PROPCTRL_TXT_000279,Wilds Floor,Sahig ng Wilds
PROPCTRL_TXT_000280,Pebble Floor,Pebble na Sahig
PROPCTRL_TXT_000281,Fortress Floor,Sahig ng Fortress
PROPCTRL_TXT_000282,Cracked Floor,Cracked na Sahig
PROPCTRL_TXT_000283,Volcanic Floor,Bulkanikong Sahig
PROPCTRL_TXT_000284,Modern Floor,Modernong Sahig
PROPCTRL_TXT_000285,Pipe Floor,Sahig ng Pipe
PROPCTRL_TXT_000286,Darkon Metal Mosaic Floor,Mosaic na Metal na Sahig ng Darkon
PROPCTRL_TXT_000287,Darkon Metal Grid Lattice Floor,Grid Lattice na Metal na Sahig ng Darkon
PROPCTRL_TXT_000288,Darkon Metal Plain Floor,Plain na Metal na Sahig ng Darkon
PROPCTRL_TXT_000289,Forged Floor,Forged na Sahig
PROPCTRL_TXT_000290,Industrial Floor,Industrial na Sahig
PROPCTRL_TXT_000291,Colosseum Floor,Sahig ng Colosseum
PROPCTRL_TXT_000292,Dungeon Floor,Sahig ng Dungeon
PROPCTRL_TXT_000293,Bright Wooden Floor,Maliwanag na Kahoy na Sahig
PROPCTRL_TXT_000294,Honey Wooden Floor,Honey na Kahoy na Sahig
PROPCTRL_TXT_000295,Ancient Floor,Sahig ng Sinaunang Panahon
PROPCTRL_TXT_000296,Pier Floor,Sahig ng Pier
PROPCTRL_TXT_000297,Dark Stacked Wooden Floor,Dark Stacked na Kahoy na Sahig
PROPCTRL_TXT_000298,Light Stacked Wooden Floor,Light Stacked na Kahoy na Sahig
PROPCTRL_TXT_000299,Dark Plank Floor,Dark Plank na Sahig
PROPCTRL_TXT_000300,Cracked Marble Floor,Cracked Marble na Sahig
PROPCTRL_TXT_000301,Battle Floor,Sahig ng Labanan
PROPCTRL_TXT_000302,Branch Floor,Sahig ng Sanga
PROPCTRL_TXT_000303,Tree Floor,Sahig ng Puno
PROPCTRL_TXT_000304,Royal Carpet Floor,Royal Carpet na Sahig
PROPCTRL_TXT_000305,Rhisis Floor,Sahig ng Rhisis
PROPCTRL_TXT_000306,Dirt Floor,Dirt na Sahig
PROPCTRL_TXT_000307,Flarine Floor,Sahig ng Flarine
PROPCTRL_TXT_000308,Gravel Floor,Graba na Sahig
PROPCTRL_TXT_000309,Bordered Plank Floor,Sahig ng Bordered Plank
PROPCTRL_TXT_000310,Basic Ceiling,Pangkaraniwang Kisame
PROPCTRL_TXT_000311,White Ceiling,Puting Kisame
PROPCTRL_TXT_000312,Bordered Cove Ceiling,Kisame ng Bordered Cove
PROPCTRL_TXT_000313,Plain Cove Ceiling,Plain na Kisame ng Cove
PROPCTRL_TXT_000314,Small Plank Ceiling,Maliit na Plank na Kisame
PROPCTRL_TXT_000315,Crate Ceiling,Kisame ng Kahon
PROPCTRL_TXT_000316,Platform Ceiling,Plataporma na Kisame
PROPCTRL_TXT_000317,Light Plank Ceiling,Maliwanag na Plank na Kisame
PROPCTRL_TXT_000318,Light Brick Ceiling,Maliwanag na Brick na Kisame
PROPCTRL_TXT_000319,Scrapwood Ceiling,Kisame ng Scrapwood
PROPCTRL_TXT_000320,Pale Wood Ceiling,Mapusyaw na Kahoy na Kisame
PROPCTRL_TXT_000321,Mossy Brick Ceiling,Mossy Brick na Kisame
PROPCTRL_TXT_000322,Shipwreck Ceiling,Kisame ng Shipwreck
PROPCTRL_TXT_000323,Construction Ceiling,Kisame ng Konstruksyon
PROPCTRL_TXT_000324,Mars Ceiling,Kisame ng Mars
PROPCTRL_TXT_000325,Forsaken Brick Ceiling,Forsaken Brick na Kisame
PROPCTRL_TXT_000326,Ominous Ceiling,Ominous na Kisame
PROPCTRL_TXT_000327,Golden Ceiling,Gintong Kisame
PROPCTRL_TXT_000328,Bordered Secret Ceiling,Kisame ng Bordered Secret
PROPCTRL_TXT_000329,Plain Secret Ceiling,Plain na Kisame ng Secret
PROPCTRL_TXT_000330,Darkon Wooden Plain Ceiling,Simpleng Kahoy na Kisame ng Darkon
PROPCTRL_TXT_000331,Darkon Wooden Mosaic Ceiling,Mosaic na Kahoy na Kisame ng Darkon
PROPCTRL_TXT_000332,Forsaken Blue Ceiling,Forsaken Blue na Kisame
PROPCTRL_TXT_000333,Plain Forsaken Blue Ceiling,Plain na Forsaken Blue na Kisame
PROPCTRL_TXT_000334,Wilds Ceiling,Kisame ng Wilds
PROPCTRL_TXT_000335,Pebble Ceiling,Pebble na Kisame
PROPCTRL_TXT_000336,Fortress Ceiling,Kisame ng Fortress
PROPCTRL_TXT_000337,Cracked Ceiling,Cracked na Kisame
PROPCTRL_TXT_000338,Volcanic Ceiling,Bulkanikong Kisame
PROPCTRL_TXT_000339,Modern Ceiling,Modernong Kisame
PROPCTRL_TXT_000340,Pipe Ceiling,Kisame ng Pipe
PROPCTRL_TXT_000341,Darkon Metal Mosaic Ceiling,Mosaic na Metal na Kisame ng Darkon
PROPCTRL_TXT_000342,Darkon Metal Grid Lattice Ceiling,Grid Lattice na Metal na Kisame ng Darkon
PROPCTRL_TXT_000343,Darkon Metal Plain Ceiling,Plain na Metal na Kisame ng Darkon
PROPCTRL_TXT_000344,Forged Ceiling,Forged na Kisame
PROPCTRL_TXT_000345,Industrial Ceiling,Industrial na Kisame
PROPCTRL_TXT_000346,Colosseum Ceiling,Kisame ng Colosseum
PROPCTRL_TXT_000347,Dungeon Ceiling,Kisame ng Dungeon
PROPCTRL_TXT_000348,Bright Wooden Ceiling,Maliwanag na Kahoy na Kisame
PROPCTRL_TXT_000349,Honey Wooden Ceiling,Honey na Kahoy na Kisame
PROPCTRL_TXT_000350,Ancient Ceiling,Sinaunang Kisame
PROPCTRL_TXT_000351,Pier Ceiling,Kisame ng Pier
PROPCTRL_TXT_000352,Dark Stacked Wooden Ceiling,Dark Stacked na Kahoy na Kisame
PROPCTRL_TXT_000353,Light Stacked Wooden Ceiling,Light Stacked na Kahoy na Kisame
PROPCTRL_TXT_000354,Dark Plank Ceiling,Dark Plank na Kisame
PROPCTRL_TXT_000355,Cracked Marble Ceiling,Cracked Marble na Kisame
PROPCTRL_TXT_000356,Battle Ceiling,Kisame ng Labanan
PROPCTRL_TXT_000357,Branch Ceiling,Kisame ng Sanga
PROPCTRL_TXT_000358,Tree Ceiling,Kisame ng Puno
PROPCTRL_TXT_000359,Royal Carpet Ceiling,Royal Carpet na Kisame
PROPCTRL_TXT_000360,Rhisis Ceiling,Kisame ng Rhisis
PROPCTRL_TXT_000361,Dirt Ceiling,Dirt na Kisame
PROPCTRL_TXT_000362,Flarine Ceiling,Kisame ng Flarine
PROPCTRL_TXT_000363,Gravel Ceiling,Graba na Kisame
PROPCTRL_TXT_000364,Bordered Plank Ceiling,Kisame ng Bordered Plank
PROPCTRL_TXT_000365,Common Green Tree 2,Karaniwang Green Tree 2
PROPCTRL_TXT_000366,Common Green Tree 3,Karaniwang Green Tree 3
PROPCTRL_TXT_000367,Common Green Tree 4,Karaniwang Green Tree 4
PROPCTRL_TXT_000368,Common Green Tree 5,Karaniwang Green Tree 5
PROPCTRL_TXT_000369,Common Green Tree 6,Karaniwang Green Tree 6
PROPCTRL_TXT_000370,Common Green Tree 7,Karaniwang Green Tree 7
PROPCTRL_TXT_000371,Common Green Tree 8,Karaniwang Green Tree 8
PROPCTRL_TXT_000372,Common Green Tree 9,Karaniwang Green Tree 9
PROPCTRL_TXT_000373,Common Green Tree 10,Karaniwang Green Tree 10
PROPCTRL_TXT_000374,Common Green Tree 11,Karaniwang Green Tree 11
PROPCTRL_TXT_000375,Common Green Tree 12,Karaniwang Green Tree 12
PROPCTRL_TXT_000376,Common Green Tree 13,Karaniwang Green Tree 13
PROPCTRL_TXT_000377,Common Green Tree 14,Karaniwang Green Tree 14
PROPCTRL_TXT_000378,Common Sakura Tree 2,Karaniwang Sakura Tree 2
PROPCTRL_TXT_000379,Common Wooden Box 2,Karaniwang Kahoy na Kahon 2
PROPCTRL_TXT_000380,Common Wooden Box Pile 2,Karaniwang Bunton ng Kahoy na Kahon 2
PROPCTRL_TXT_000381,Common Wooden Box Pile 3,Karaniwang Bunton ng Kahoy na Kahon 3
PROPCTRL_TXT_000382,Common Wooden Box Pile 4,Karaniwang Bunton ng Kahoy na Kahon 4
PROPCTRL_TXT_000383,Common Wooden Barrel 2,Karaniwang Kahoy na Bariles 2
PROPCTRL_TXT_000384,Common Wooden Barrel 3,Karaniwang Kahoy na Bariles 3
PROPCTRL_TXT_000385,Common Wooden Barrel 4,Karaniwang Kahoy na Bariles 4
PROPCTRL_TXT_000386,Common Wooden Barrel Pile 2,Karaniwang Bunton ng Kahoy na Bariles 2
PROPCTRL_TXT_000387,Common Wooden Barrel Pile 3,Karaniwang Bunton ng Kahoy na Bariles 3
PROPCTRL_TXT_000388,Common Wooden Barrel Pile 4,Karaniwang Bunton ng Kahoy na Bariles 4
PROPCTRL_TXT_000389,Common Wooden Barrel Pile 5,Karaniwang Bunton ng Kahoy na Bariles 5
