Key,English,German
PROPCTRL_TXT_000196,Common Rock 1,Gewöhnlicher Fels 1
PROPCTRL_TXT_000197,Common Autumn Tree,Gewöhnlicher Herbstbaum
PROPCTRL_TXT_000198,Common Sakura Tree 1,Gewöhnlicher Sakura-Baum 1
PROPCTRL_TXT_000199,Common Burned Tree,Gewöhnlicher verbrannter Baum
PROPCTRL_TXT_000200,St Morning Bench,Saint Morning Bank
PROPCTRL_TXT_000201,St Morning Chariot,Saint Morning Wagen
PROPCTRL_TXT_000202,St Morning Rock Arch 1,Saint Morning Felsbogen 1
PROPCTRL_TXT_000203,St Morning Flag 1,Saint Morning Flagge 1
PROPCTRL_TXT_000204,St Morning Flower Bed,Saint Morning Blumenbett
PROPCTRL_TXT_000205,St Morning Rock 1,Saint Morning Fels 1
PROPCTRL_TXT_000206,St Morning Light 1,Saint Morning Licht 1
PROPCTRL_TXT_000207,St Morning Sign,Saint Morning Schild
PROPCTRL_TXT_000208,Darkon Wagon 1,Darkon Wagen 1
PROPCTRL_TXT_000209,Darkon Sign 1,Darkon Schild 1
PROPCTRL_TXT_000210,Darkon Big Box 1,Große Darkon Box 1
PROPCTRL_TXT_000211,Darkon Brown Rock 1,Brauner Darkon Fels 1
PROPCTRL_TXT_000212,Darkon Barrel 1,Darkon Fass 1
PROPCTRL_TXT_000213,Darkon Ground Window,Darkon Erdgeschossfenster
PROPCTRL_TXT_000214,Darkon Light 1,Darkon Licht 1
PROPCTRL_TXT_000215,Darkon Mushroom 1,Darkon Pilz 1
PROPCTRL_TXT_000216,Darkon Tree 1,Darkon Baum 1
PROPCTRL_TXT_000217,Darkon Plant,Darkon Pflanze
PROPCTRL_TXT_000218,Azria Plant 1,Azria Pflanze 1
PROPCTRL_TXT_000219,Azria Tree 1,Azria Baum 1
PROPCTRL_TXT_000220,Azria Light 1,Azria Licht 1
PROPCTRL_TXT_000221,Azria Rock 1,Azria Felsen 1
PROPCTRL_TXT_000222,Azria Mushroom 1,Azria Pilz 1
PROPCTRL_TXT_000223,Azria Chariot,Azria Wagen
PROPCTRL_TXT_000224,Azria Crystal,Azria Kristall
PROPCTRL_TXT_000225,Azria Grass 1,Azria Gras 1
PROPCTRL_TXT_000226,Azria Sign 1,Azria Schild 1
PROPCTRL_TXT_000227,Azria Box Pile,Azria Kistenstapel
PROPCTRL_TXT_000228,Azria Box 1,Azria Kiste 1
PROPCTRL_TXT_000229,Coral Island Tree 1,Koralleninsel Baum 1
PROPCTRL_TXT_000230,Coral Island Shellfish 1,Koralleninsel Muscheln 1
PROPCTRL_TXT_000231,Coral Island Coral 1,Koralleninsel Koralle 1
PROPCTRL_TXT_000232,Coral Island Starfish 1,Koralleninsel Seestern 1
PROPCTRL_TXT_000233,Coral Island Table 1,Koralleninsel Tisch 1
PROPCTRL_TXT_000234,Coral Island Beach Umbrella ,Koralleninsel Strandschirm
PROPCTRL_TXT_000235,Basic Wall,Einfache Wand
PROPCTRL_TXT_000236,Flaris Wall,Flaris Wand
PROPCTRL_TXT_000237,Cove Wall,Bucht Wand
PROPCTRL_TXT_000238,Coral Island Wall,Koralleninsel Wand
PROPCTRL_TXT_000239,Forsaken Wall,Verlorene Wand
PROPCTRL_TXT_000240,Secret Wall,Geheime Wand
PROPCTRL_TXT_000241,Colosseum Wall,Kolosseumwand
PROPCTRL_TXT_000242,Darkon Light Wall,Helle Darkon Wand
PROPCTRL_TXT_000243,Darkon Wooden Wall,Hölzerne Darkon Wand
PROPCTRL_TXT_000244,Darkon Metal Wall,Metallische Darkon Wand
PROPCTRL_TXT_000245,Mechanical Wall,Mechanische Wand
PROPCTRL_TXT_000246,Cottage Wall,Hütten Wand
PROPCTRL_TXT_000247,Ivillis Wall,Ivillis Wand
PROPCTRL_TXT_000248,Royal Wall,Königliche Wand
PROPCTRL_TXT_000249,Plain Wall,Schlichte Wand
PROPCTRL_TXT_000250,Deck Wall,Deck Wand
PROPCTRL_TXT_000251,Forest Wall,Wald Wand
PROPCTRL_TXT_000252,Metallic Wall,Metallische Wand
PROPCTRL_TXT_000253,Construction Wall,Konstruktionswand
PROPCTRL_TXT_000254,Saint Morning Wall,Saint Morning Wand
PROPCTRL_TXT_000255,Basic Floor,Einfacher Boden
PROPCTRL_TXT_000256,White Floor,Weißer Boden
PROPCTRL_TXT_000257,Bordered Cove Floor,Umrandeter Bucht Boden
PROPCTRL_TXT_000258,Plain Cove Floor,Schlichter Bucht Boden
PROPCTRL_TXT_000259,Small Plank Floor,Kleiner Dielenboden
PROPCTRL_TXT_000260,Crate Floor,Kistenboden
PROPCTRL_TXT_000261,Platform Floor,Plattform Boden
PROPCTRL_TXT_000262,Light Plank Floor,Heller Dielenboden
PROPCTRL_TXT_000263,Light Brick Floor,Heller Backsteinboden
PROPCTRL_TXT_000264,Scrap Wood Floor,Restholzboden
PROPCTRL_TXT_000265,Pale Wood Floor,Bleicher Holzboden
PROPCTRL_TXT_000266,Mossy Brick Floor,Mosiger Backsteinboden
PROPCTRL_TXT_000267,Shipwreck Floor,Schiffswrack Boden
PROPCTRL_TXT_000268,Construction Floor,Konstruktionsboden
PROPCTRL_TXT_000269,Mars Floor,Mars Boden
PROPCTRL_TXT_000270,Forsaken Brick Floor,Verlorener Backsteinboden
PROPCTRL_TXT_000271,Ominous Floor,Ominöser Boden
PROPCTRL_TXT_000272,Golden Floor,Goldener Boden
PROPCTRL_TXT_000273,Bordered Secret Floor,Umrandeter geheimer Boden
PROPCTRL_TXT_000274,Plain Secret Floor,Schlichter Geheimboden
PROPCTRL_TXT_000275,Darkon Wooden Plain Floor,Schlichter hölzerner Darkon Boden
PROPCTRL_TXT_000276,Darkon Wooden Mosaic Floor,Hölzerner Darkon Mosaikboden
PROPCTRL_TXT_000277,Forsaken Blue Floor,Verlorener blauer Boden
PROPCTRL_TXT_000278,Plain Forsaken Blue Floor,Schlichter verlorener blauer Boden
PROPCTRL_TXT_000279,Wilds Floor,Wildnisboden
PROPCTRL_TXT_000280,Pebble Floor,Kieselboden
PROPCTRL_TXT_000281,Fortress Floor,Festungsboden
PROPCTRL_TXT_000282,Cracked Floor,Rissiger Boden
PROPCTRL_TXT_000283,Volcanic Floor,Vulkanischer Boden
PROPCTRL_TXT_000284,Modern Floor,Moderner Boden
PROPCTRL_TXT_000285,Pipe Floor,Rohrboden
PROPCTRL_TXT_000286,Darkon Metal Mosaic Floor,Metallischer Darkon Mosaikboden
PROPCTRL_TXT_000287,Darkon Metal Grid Lattice Floor,Metallischer Darkon Gitterfußboden 
PROPCTRL_TXT_000288,Darkon Metal Plain Floor,Schlichter metallischer Darkon Boden
PROPCTRL_TXT_000289,Forged Floor,Schmiedeboden
PROPCTRL_TXT_000290,Industrial Floor,Industrieboden
PROPCTRL_TXT_000291,Colosseum Floor,Kolosseumsboden
PROPCTRL_TXT_000292,Dungeon Floor,Dungeon Boden
PROPCTRL_TXT_000293,Bright Wooden Floor,Heller Holzboden
PROPCTRL_TXT_000294,Honey Wooden Floor,Honig Holzboden
PROPCTRL_TXT_000295,Ancient Floor,Antiker Boden
PROPCTRL_TXT_000296,Pier Floor,Pier Boden
PROPCTRL_TXT_000297,Dark Stacked Wooden Floor,Dunkel gestapelter Holzboden
PROPCTRL_TXT_000298,Light Stacked Wooden Floor,Heller gestapelter Holzboden
PROPCTRL_TXT_000299,Dark Plank Floor,Dunkler Dielenboden
PROPCTRL_TXT_000300,Cracked Marble Floor,Gesprungener Marmorboden
PROPCTRL_TXT_000301,Battle Floor,Kampfboden
PROPCTRL_TXT_000302,Branch Floor,Zweig Boden
PROPCTRL_TXT_000303,Tree Floor,Baum Boden
PROPCTRL_TXT_000304,Royal Carpet Floor,Königlicher Teppichboden
PROPCTRL_TXT_000305,Rhisis Floor,Rhisis Boden
PROPCTRL_TXT_000306,Dirt Floor,Dreckboden
PROPCTRL_TXT_000307,Flarine Floor,Flaris Boden
PROPCTRL_TXT_000308,Gravel Floor,Schotterboden
PROPCTRL_TXT_000309,Bordered Plank Floor,Eingefasster Dielenboden
PROPCTRL_TXT_000310,Basic Ceiling,Einfache Decke
PROPCTRL_TXT_000311,White Ceiling,Weiße Decke
PROPCTRL_TXT_000312,Bordered Cove Ceiling,Umrandete Bucht Decke
PROPCTRL_TXT_000313,Plain Cove Ceiling,Schlichte Bucht Decke
PROPCTRL_TXT_000314,Small Plank Ceiling,Kleine Dielendecke
PROPCTRL_TXT_000315,Crate Ceiling,Kistendecke
PROPCTRL_TXT_000316,Platform Ceiling,Plattformdecke
PROPCTRL_TXT_000317,Light Plank Ceiling,Helle Dielendecke
PROPCTRL_TXT_000318,Light Brick Ceiling,Helle Backsteindecke
PROPCTRL_TXT_000319,Scrap Wood Ceiling,Restholzdecke
PROPCTRL_TXT_000320,Pale Wood Ceiling,Blasse Holzdecke
PROPCTRL_TXT_000321,Mossy Brick Ceiling,Mosige Backsteindecke
PROPCTRL_TXT_000322,Shipwreck Ceiling,Schiffswrack Decke
PROPCTRL_TXT_000323,Construction Ceiling,Konstruktionsdecke
PROPCTRL_TXT_000324,Mars Ceiling,Mars Decke
PROPCTRL_TXT_000325,Forsaken Brick Ceiling,Verlorene Backsteindecke
PROPCTRL_TXT_000326,Ominous Ceiling,Ominöse Decke
PROPCTRL_TXT_000327,Golden Ceiling,Goldene Decke
PROPCTRL_TXT_000328,Bordered Secret Ceiling,Umrandete geheime Decke
PROPCTRL_TXT_000329,Plain Secret Ceiling,Schlichte Geheimdecke
PROPCTRL_TXT_000330,Darkon Wooden Plain Ceiling,Schlichte hölzerne Darkon Decke
PROPCTRL_TXT_000331,Darkon Wooden Mosaic Ceiling,Hölzerne Darkon Mosaikdecke
PROPCTRL_TXT_000332,Forsaken Blue Ceiling,Verlorene blaue Decke
PROPCTRL_TXT_000333,Plain Forsaken Blue Ceiling,Schlichte verlorene blaue Decke
PROPCTRL_TXT_000334,Wilds Ceiling,Wildnisdecke
PROPCTRL_TXT_000335,Pebble Ceiling,Kieseldecke
PROPCTRL_TXT_000336,Fortress Ceiling,Festungsdecke
PROPCTRL_TXT_000337,Cracked Ceiling,Rissige Decke
PROPCTRL_TXT_000338,Volcanic Ceiling,Vulkanische Decke
PROPCTRL_TXT_000339,Modern Ceiling,Moderne Decke
PROPCTRL_TXT_000340,Pipe Ceiling,Rohrdecke
PROPCTRL_TXT_000341,Darkon Metal Mosaic Ceiling,Metallische Darkon Mosaikdecke
PROPCTRL_TXT_000342,Darkon Metal Grid Lattice Ceiling,Metallische Darkon Gitterdecke Single Pack
PROPCTRL_TXT_000343,Darkon Metal Plain Ceiling,Schlichte metallische Darkon Decke
PROPCTRL_TXT_000344,Forged Ceiling,Schmiededecke
PROPCTRL_TXT_000345,Industrial Ceiling,Industriedecke
PROPCTRL_TXT_000346,Colosseum Ceiling,Kolosseumdecke
PROPCTRL_TXT_000347,Dungeon Ceiling,Dungeon Decke
PROPCTRL_TXT_000348,Bright Wooden Ceiling,Helle Holzdecke
PROPCTRL_TXT_000349,Honey Wooden Ceiling,Honig Holzdecke
PROPCTRL_TXT_000350,Ancient Ceiling,Antike Decke
PROPCTRL_TXT_000351,Pier Ceiling,Pier Decke
PROPCTRL_TXT_000352,Dark Stacked Wooden Ceiling,Dunkel gestapelte Holzdecke
PROPCTRL_TXT_000353,Light Stacked Wooden Ceiling,Helle gestapelte Holzdecke
PROPCTRL_TXT_000354,Dark Plank Ceiling,Dunkle Dielendecke
PROPCTRL_TXT_000355,Cracked Marble Ceiling,Gesprungene Marmordecke
PROPCTRL_TXT_000356,Battle Ceiling,Kampfdecke
PROPCTRL_TXT_000357,Branch Ceiling,Zweig Decke
PROPCTRL_TXT_000358,Tree Ceiling,Baum Decke
PROPCTRL_TXT_000359,Royal Carpet Ceiling,Königliche Teppichdecke
PROPCTRL_TXT_000360,Rhisis Ceiling,Rhisis Decke
PROPCTRL_TXT_000361,Dirt Ceiling,Dreckdecke
PROPCTRL_TXT_000362,Flarine Ceiling,Flaris Decke
PROPCTRL_TXT_000363,Gravel Ceiling,Schotterdecke
PROPCTRL_TXT_000364,Bordered Plank Ceiling,Eingefasste Dielendecke
PROPCTRL_TXT_000365,Common Green Tree 2,Gewöhnlicher grüner Baum 2
PROPCTRL_TXT_000366,Common Green Tree 3,Gewöhnlicher grüner Baum 3
PROPCTRL_TXT_000367,Common Green Tree 4,Gewöhnlicher grüner Baum 4
PROPCTRL_TXT_000368,Common Green Tree 5,Gewöhnlicher grüner Baum 5
PROPCTRL_TXT_000369,Common Green Tree 6,Gewöhnlicher grüner Baum 6
PROPCTRL_TXT_000370,Common Green Tree 7,Gewöhnlicher grüner Baum 7
PROPCTRL_TXT_000371,Common Green Tree 8,Gewöhnlicher grüner Baum 8
PROPCTRL_TXT_000372,Common Green Tree 9,Gewöhnlicher grüner Baum 9
PROPCTRL_TXT_000373,Common Green Tree 10,Gewöhnlicher grüner Baum 10
PROPCTRL_TXT_000374,Common Green Tree 11,Gewöhnlicher grüner Baum 11
PROPCTRL_TXT_000375,Common Green Tree 12,Gewöhnlicher grüner Baum 12
PROPCTRL_TXT_000376,Common Green Tree 13,Gewöhnlicher grüner Baum 13
PROPCTRL_TXT_000377,Common Green Tree 14,Gewöhnlicher grüner Baum 14
PROPCTRL_TXT_000378,Common Sakura Tree 2,Gewöhnlicher Sakura-Baum 2
PROPCTRL_TXT_000379,Common Wooden Box 2,Gewöhnliche Holzkiste 2
PROPCTRL_TXT_000380,Common Wooden Box Pile 2,Gewöhnlicher Holzkistenstapel 2
PROPCTRL_TXT_000381,Common Wooden Box Pile 3,Gewöhnlicher Holzkistenstapel 3
PROPCTRL_TXT_000382,Common Wooden Box Pile 4,Gewöhnlicher Holzkistenstapel 4
PROPCTRL_TXT_000383,Common Wooden Barrel 2,Gewöhnliches Holzfass 2
PROPCTRL_TXT_000384,Common Wooden Barrel 3,Gewöhnliches Holzfass 3
PROPCTRL_TXT_000385,Common Wooden Barrel 4,Gewöhnliches Holzfass 4
PROPCTRL_TXT_000386,Common Wooden Barrel Pile 2,Gewöhnlicher Holzfassstapel 2
PROPCTRL_TXT_000387,Common Wooden Barrel Pile 3,Gewöhnlicher Holzfassstapel 3
PROPCTRL_TXT_000388,Common Wooden Barrel Pile 4,Gewöhnlicher Holzfassstapel 4
PROPCTRL_TXT_000389,Common Wooden Barrel Pile 5,Gewöhnlicher Holzfassstapel 5
PROPCTRL_TXT_000390,Common Wooden Barrel Pile 6,Gewöhnlicher Holzfassstapel 6
PROPCTRL_TXT_000391,Common Wooden Barrel Pile 7,Gewöhnlicher Holzfassstapel 7
PROPCTRL_TXT_000392,Common Wooden Barrel Pile 8,Gewöhnlicher Holzfassstapel 8
PROPCTRL_TXT_000393,Common Wooden Barrel Pile 9,Gewöhnlicher Holzfassstapel 9
PROPCTRL_TXT_000394,Common Wooden Barrel Pile 10,Gewöhnlicher Holzfassstapel 10
PROPCTRL_TXT_000395,Common Flowers 2,Gewöhnliche Blumen 2
PROPCTRL_TXT_000396,Common Flowers 3,Gewöhnliche Blumen 3
PROPCTRL_TXT_000397,Common Flowers 4,Gewöhnliche Blumen 4
PROPCTRL_TXT_000398,Common Flowers 5,Gewöhnliche Blumen 5
PROPCTRL_TXT_000399,Common Flowers 6,Gewöhnliche Blumen 6
PROPCTRL_TXT_000400,Common Flowers 7,Gewöhnliche Blumen 7
PROPCTRL_TXT_000401,Common Flowers 8,Gewöhnliche Blumen 8
PROPCTRL_TXT_000402,Common Grass 2,Gewöhnliches Gras 2
