Key,English,Simplified_Chinese
CHARACTER_INC_000708,[Arena Store] Deek,[竞技场商人] 迪克
CHARACTER_INC_000712,[Arena Manager] Lay,[竞技场管理员] 雷
CHARACTER_INC_000738,Card Master,卡片大师
CHARACTER_INC_000742,[Jewel Manager] Peach,[珠宝大师]皮奇
CHARACTER_INC_000951,[Rock Scissor Paper NPC] Demian,[石头剪刀布活动NPC]迪米
CHARACTER_INC_000847,[Mentor] Inisis,[导师] 伊内瑟丝
CHARACTER_INC_001067,Reonan,瑞尔南
CHARACTER_INC_001069,Nerco,尼尔科
CHARACTER_INC_001071,Hael,海尔
CHARACTER_INC_001073,Handel,汉德尔
CHARACTER_INC_001075,Zoro,佐罗
CHARACTER_INC_001077,Elaine,伊莲
CHARACTER_INC_001079,Ainher,音赫
CHARACTER_INC_001081,Reodos,里奥多斯
CHARACTER_INC_001083,Sury,叙里
CHARACTER_INC_001115,Luzina,卢西娜
CHARACTER_INC_001117,Nersha,尼尔莎
CHARACTER_INC_001123,Drico,德里科
CHARACTER_INC_100001,Locku,洛克
CHARACTER_INC_100002,Letana,莱塔娜
CHARACTER_INC_100003,Nemra,内姆拉
CHARACTER_INC_100004,YaoRin,姚琳
CHARACTER_INC_100005,Zaoma,扎马
CHARACTER_INC_100008,Dekane,达肯
CHARACTER_INC_100009,Launch Buff Pang,开启新手指导员
CHARACTER_INC_100010,Gigaka,季加卡
CHARACTER_INC_100011,Miriun,米林
CHARACTER_INC_100012,Auxilior,奥格吉里
CHARACTER_INC_100013,Mawrang,玫然
CHARACTER_INC_100014,Buur,布尔
CHARACTER_INC_100015,Gloves,手套
CHARACTER_INC_100016,Kumah,库马
CHARACTER_INC_100017,Obnis,欧比涅斯
CHARACTER_INC_100018,Airon,艾隆
CHARACTER_INC_100019,Haom,浩穆
CHARACTER_INC_100020,Mysterious Robed Girl,神秘长袍少女
CHARACTER_INC_000697,[Chip Merchant] Waforu,[战斗商人] 华弗
CHARACTER_INC_100021,Azria Pang,雪地胖胖
CHARACTER_INC_001260,Lifeguard Jennifer,救生员詹妮弗
CHARACTER_INC_100022,[Lv80 Guild Siege Manager] Atlas,[Lv80公会战管理员] 阿特拉斯
CHARACTER_INC_100023,[Lv60 Guild Siege Manager] Olivia,[Lv60公会战管理员] 奥利维娅
CHARACTER_INC_100024,Polar Bear,北极熊
CHARACTER_INC_100025,Fu Lion King,狮王
CHARACTER_INC_100026,Cupid,丘比特
CHARACTER_INC_100027,[Master Quests] Leila,[大师进阶] 蕾拉
CHARACTER_INC_000722,Secret Room Manager,深渊之塔管理员
CHARACTER_INC_000723,Leren Chasm Guard,乐雅裂痕守卫
CHARACTER_INC_000724,Rhisis Catacombs Guard,莱斯神之墓守卫
CHARACTER_INC_000725,Envy Depths Guard,渴望深渊守卫
CHARACTER_INC_000726,Guardiane Sanctuary Guard,堕落圣域守卫
CHARACTER_INC_000727,Storm Peak Guard,风暴之巅守卫
CHARACTER_INC_000728,Rankashin,小小草儿
CHARACTER_INC_100028,Kebaras Pang,卡巴拉斯胖胖
CHARACTER_INC_100029,Pink Easter Bunny,Pink Easter Bunny
CHARACTER_INC_100030,Galaxy Scout,Galaxy Scout
CHARACTER_INC_100031,Birthday Baker,Birthday Baker
CHARACTER_INC_100032,[FWC Manager] Ava,[FWC管理员] Ava
CHARACTER_INC_100033,Gacha Machine,扭蛋机
CHARACTER_INC_100034,Bach,巴赫
CHARACTER_INC_100035,Private Leo,Private Leo
CHARACTER_INC_100036,Noah,Noah
CHARACTER_INC_100037,Conch,Conch
CHARACTER_INC_100038,Traveling Merchant,流浪商人
CHARACTER_INC_400000,[Token Merchant] Andrew,[Token Merchant] Andrew
CHARACTER_INC_100039,Molu,Molu
CHARACTER_INC_100040,Costume Box,Costume Box
CHARACTER_INC_100041,Pragas,Pragas
CHARACTER_INC_100042,Beltung,Beltung
CHARACTER_INC_100043,Gujane,Gujane
CHARACTER_INC_000729,The Wilds Guard,荒野守卫
CHARACTER_INC_000730,Rainbow Race Officer,彩虹竞赛事务官
CHARACTER_INC_002000,Mysterious Islander,Mysterious Islander
CHARACTER_INC_002001,Pau Pau,泡泡
CHARACTER_INC_002002,Kammie,卡米
CHARACTER_INC_002003,BoBu,波布
CHARACTER_INC_002004,Talus,塔卢斯
CHARACTER_INC_002005,Inventor Remi,发明家蕾米
CHARACTER_INC_002006,Sunny Pang,阳光胖胖
CHARACTER_INC_000771,Charlie,Charlie
CHARACTER_INC_000772,[Guild House Manager] Lousiana,[公会房屋管理员] Lousiana
CHARACTER_INC_000773,Santa,圣诞老人
CHARACTER_INC_100044,Diosa,Diosa
CHARACTER_INC_100200,Kalgas Assault Manager,卡尔加斯突袭管理员
CHARACTER_INC_003200,[Personal House NPC] Casanova,[Personal House NPC] Casanova
CHARACTER_INC_003201,[Personal House NPC] Misun,[Personal House NPC] Misun
CHARACTER_INC_003202,[Personal House NPC] Punk,[Personal House NPC] Punk
CHARACTER_INC_003203,[Personal House NPC] Temas,[Personal House NPC] Temas
CHARACTER_INC_003204,[Personal House NPC] BB Wolf,[Personal House NPC] BB Wolf
CHARACTER_INC_003205,[Personal House NPC] Chacha,[Personal House NPC] Chacha
CHARACTER_INC_003206,[Personal House NPC] Hatter,[Personal House NPC] Hatter
CHARACTER_INC_003207,[Personal House NPC] Alice,[Personal House NPC] Alice
CHARACTER_INC_003208,[Personal House NPC] Rulu,[Personal House NPC] Rulu
CHARACTER_INC_003209,[Personal House NPC] Demon,[Personal House NPC] Demon
CHARACTER_INC_003210,[Personal House NPC] Gevil,[Personal House NPC] Gevil
CHARACTER_INC_003211,[Personal House NPC] Sevil,[Personal House NPC] Sevil
CHARACTER_INC_003212,[Personal House NPC] Lala,[Personal House NPC] Lala
CHARACTER_INC_003213,[Personal House NPC] Tino,[Personal House NPC] Tino
CHARACTER_INC_003214,[Personal House NPC] Cachu,[Personal House NPC] Cachu
CHARACTER_INC_003215,[Personal House NPC] Pang,[Personal House NPC] Pang
CHARACTER_INC_003216,[Guild House NPC] Gira,[Guild House NPC] Gira
CHARACTER_INC_003217,[Guild House NPC] Affe,[Guild House NPC] Affe
CHARACTER_INC_003218,[Guild House NPC] Sham,[Guild House NPC] Sham
CHARACTER_INC_003219,[Guild House NPC] Lamew,[Guild House NPC] Lamew
CHARACTER_INC_003220,[Guild House NPC] Quarter,[Guild House NPC] Quarter
CHARACTER_INC_003221,[Guild House NPC] Duron,[Guild House NPC] Duron
CHARACTER_INC_003222,[Guild House NPC] Dolphie,[Guild House NPC] Dolphie
CHARACTER_INC_003223,[Guild House NPC] Fuba,[Guild House NPC] Fuba
CHARACTER_INC_003224,[Guild House NPC] Bako,[Guild House NPC] Bako
CHARACTER_INC_003225,[Guild House NPC] Wick,[Guild House NPC] Wick
CHARACTER_INC_003226,[Guild House NPC] Wina,[Guild House NPC] Wina
CHARACTER_INC_003227,[Guild House NPC] Pitch,[Guild House NPC] Pitch
CHARACTER_INC_003228,[Guild House NPC] Catch,[Guild House NPC] Catch
CHARACTER_INC_003229,[Guild House NPC] Met,[Guild House NPC] Met
CHARACTER_INC_003230,[Guild House NPC] Ego,[Guild House NPC] Ego
CHARACTER_INC_003231,[Guild House NPC] Wifielder,[Guild House NPC] Wifielder
CHARACTER_INC_003232,[Guild House NPC] Simid,[Guild House NPC] Simid
CHARACTER_INC_003233,[Guild House NPC] Chord,[Guild House NPC] Chord
CHARACTER_INC_003234,[Guild House NPC] Anura,[Guild House NPC] Anura
CHARACTER_INC_003235,[Guild House NPC] Vikel,[Guild House NPC] Vikel
CHARACTER_INC_003236,[Guild House NPC] Soz,[Guild House NPC] Soz
CHARACTER_INC_003237,[Guild House NPC] Naso,[Guild House NPC] Naso
CHARACTER_INC_003238,[Guild House NPC] Nuso,[Guild House NPC] Nuso
CHARACTER_INC_003239,[Guild House NPC] Cobao,[Guild House NPC] Cobao
CHARACTER_INC_003240,[Guild House NPC] Aibao,[Guild House NPC] Aibao
CHARACTER_INC_003241,[Guild House NPC] Nanco,[Guild House NPC] Nanco
CHARACTER_INC_003242,[Guild House NPC] Asa,[Guild House NPC] Asa
CHARACTER_INC_003243,[Guild House NPC] Alyn,[Guild House NPC] Alyn
CHARACTER_INC_003244,[Guild House NPC] Lane,[Guild House NPC] Lane
CHARACTER_INC_003245,[Guild House NPC] Runni,[Guild House NPC] Runni
CHARACTER_INC_003246,[Guild House NPC] Pang,[Guild House NPC] Pang
CHARACTER_INC_000774,Orphanage Keeper,Orphanage Keeper
CHARACTER_INC_003247,Guest Book,访客留言簿
CHARACTER_INC_003248,Bomida,Bomida
CHARACTER_INC_003249,Negie,Negie
CHARACTER_INC_100100,Templates,Templates
CHARACTER_INC_100101,Props,Props
CHARACTER_INC_100102,NPCs,NPCs
CHARACTER_INC_000775,Chonjang,Chonjang
CHARACTER_INC_000776,[Event] Chonjang,[活动] Chonjang
CHARACTER_INC_000777,Defconn,Defconn
CHARACTER_INC_000778,Anna,Anna
CHARACTER_INC_000779,Sea Shell,Sea Shell
CHARACTER_INC_000780,Mr. Flyff,Mr. Flyff
CHARACTER_INC_000781,[Event] Roger,[Event] Roger
CHARACTER_INC_003250,[Personal House NPC] Klock,[Personal House NPC] Klock
CHARACTER_INC_100103,[Messenger of Love] Cupid,[爱的使者] 丘比特
CHARACTER_INC_003251,[Personal House NPC] Mac (F Grade),[Personal House NPC] Mac (F Grade)
CHARACTER_INC_003252,[Personal House NPC] Mac (E Grade),[Personal House NPC] Mac (E Grade)
CHARACTER_INC_003253,[Personal House NPC] Mac (D Grade),[Personal House NPC] Mac (D Grade)
CHARACTER_INC_003254,[Personal House NPC] Mac (C Grade),[Personal House NPC] Mac (C Grade)
CHARACTER_INC_003255,[Personal House NPC] Mac (B Grade),[Personal House NPC] Mac (B Grade)
CHARACTER_INC_003256,[Personal House NPC] Mac (A Grade),[Personal House NPC] Mac (A Grade)
CHARACTER_INC_140000,Couple Rings,Couple Rings
CHARACTER_INC_100104,[Life Master] Livi,[Life Master] Livi
CHARACTER_INC_100105,Gathering Tool,Gathering Tool
CHARACTER_INC_100106,Sovann,索万
CHARACTER_INC_100107,[Event] Mr.Kang,[Event] Mr.Kang
CHARACTER_INC_100108,Hyuna,Hyuna
CHARACTER_INC_100109,[Event] Boss Pang,[Event] Boss Pang
CHARACTER_INC_100110,Wounded Revolutionary,Wounded Revolutionary
CHARACTER_INC_100111,[Event] Mr.Pumpkin,[Event] Mr.Pumpkin
CHARACTER_INC_150001,[Airport Guard] Doran,[Airport Guard] Doran
CHARACTER_INC_150002,[Airport Guard] Chiron,[Airport Guard] Chiron
CHARACTER_INC_150003,[Airport Guard] Bran,[Airport Guard] Bran
CHARACTER_INC_150004,[Airport Guard] Karr,[Airport Guard] Karr
CHARACTER_INC_150005,[Airport Guard] Zerke,[Airport Guard] Zerke
CHARACTER_INC_150006,[Airport Guard] Elin,[Airport Guard] Elin
CHARACTER_INC_150007,[Eillun Guard] Gard,[艾尔伦士兵] Gard
CHARACTER_INC_150008,[Eillun Guard] Liont,[艾尔伦士兵] Liont
CHARACTER_INC_150009,[Eillun Guard] Serkan,[艾尔伦士兵] Serkan
CHARACTER_INC_150010,[Eillun Guard] Kras,[艾尔伦士兵] Kras
CHARACTER_INC_150011,[Eillun Guard] Maeron,[艾尔伦士兵] Maeron
CHARACTER_INC_150012,[Eillun Guard] Kerion,[艾尔伦士兵] Kerion
CHARACTER_INC_150013,[Eillun Guard] Raon,[艾尔伦士兵] Raon
CHARACTER_INC_150014,[Eillun Guard] Dreon,[艾尔伦士兵] Dreon
CHARACTER_INC_150015,[Eillun Guard] Merk,[艾尔伦士兵] Merk
CHARACTER_INC_150016,[Captain] Baron,[队长] Baron
CHARACTER_INC_150017,Jarl,Jarl
CHARACTER_INC_150018,[Elder] Ayr,[长者] Ayr
CHARACTER_INC_150019,[Elder] Traitus,[长者] Traitus
CHARACTER_INC_150020,[Elder] Melak,[长者] Melak
CHARACTER_INC_150021,[Elder] Silar,[长者] Silar
CHARACTER_INC_150022,[Elder] Ebron,[长者] Ebron
CHARACTER_INC_150023,[Elder] Luteon,[长者] Luteon
CHARACTER_INC_150024,Liana,Liana
CHARACTER_INC_150025,[Jewel Manager] Teron,[珠宝管理员] Teron
CHARACTER_INC_150026,Haret,Haret
CHARACTER_INC_150027,Domir,Domir
CHARACTER_INC_150028,Toran,Toran
CHARACTER_INC_150029,Karen,Karen
CHARACTER_INC_150030,Nebrah,Nebrah
CHARACTER_INC_150031,Sena,Sena
CHARACTER_INC_150032,Rohan,Rohan
CHARACTER_INC_150033,Belia,Belia
CHARACTER_INC_150034,Kerin,Kerin
CHARACTER_INC_150035,Artin,Artin
CHARACTER_INC_150036,Pael,Pael
CHARACTER_INC_150037,Lumi,Lumi
CHARACTER_INC_150038,Ivelyn,Ivelyn
CHARACTER_INC_150039,Selin,Selin
CHARACTER_INC_150040,Kaela,Kaela
CHARACTER_INC_150041,[Pet Tamer] Livia,[Pet Tamer] Livia
CHARACTER_INC_150042,Taila,Taila
CHARACTER_INC_150043,Weevs,Weevs
CHARACTER_INC_150044,[Mysterious] ??? ,[未知] ??? 
CHARACTER_INC_150045,[Expedition] Beck,[远征队] Beck
CHARACTER_INC_150046,Asylum Guard,庇护所守卫
CHARACTER_INC_150047,Mysterious Adventurer,神秘冒险者
CHARACTER_INC_150048,Jarl (Dying),Jarl (Dying)
CHARACTER_INC_150049,[PTS Manager] Mewdev,[PTS Manager] Mewdev
CHARACTER_INC_150050,Miorang,Miorang
CHARACTER_INC_150051,[Post Office] Cheirang,[事务所] Cheirang
CHARACTER_INC_150052,[Village Chief] Huntrang,[村长] 亨特朗
CHARACTER_INC_150053,[Arena Manager] Aerin,[竞技场管理员] Aerin
