Key,English,French
PRODUCTION_RECIPE_NAME_TRIMMEDCOD,Trimmed Cod,Morue Découpée
PRODUCTION_RECIPE_NAME_TRIMMEDCOD2,Trimmed Cod2,Morue Découpée 2
PRODUCTION_RECIPE_NAME_TRIMMEDHERRING,Trimmed Herring,Herrings Découpés
PRODUCTION_RECIPE_NAME_TRIMMEDHERRING2,Trimmed Herring2,Herrings Découpés 2
PRODUCTION_RECIPE_NAME_TRIMMEDSQUID,Trimmed Squid,Calmar Découpé
PRODUCTION_RECIPE_NAME_TRIMMEDSQUID2,Trimmed Squid2,Calmar Découpé 2
PRODUCTION_RECIPE_NAME_TRIMMEDMACKEREL,Trimmed Mackerel,Maquereau Découpé
PRODUCTION_RECIPE_NAME_TRIMMEDMACKEREL2,Trimmed Mackerel2,Maquereau Découpé 2
PRODUCTION_RECIPE_NAME_TRIMMEDEEL,Trimmed Eel,Anguille Découpée
PRODUCTION_RECIPE_NAME_TRIMMEDEEL2,Trimmed Eel2,Anguille Découpée 2
PRODUCTION_RECIPE_NAME_TRIMMEDSALMON,Trimmed Salmon,Saumon Découpé
PRODUCTION_RECIPE_NAME_TRIMMEDSALMON2,Trimmed Salmon2,Saumon Découpé 2
PRODUCTION_RECIPE_NAME_TRIMMEDTUNA,Trimmed Tuna,Thon Découpé
PRODUCTION_RECIPE_NAME_TRIMMEDTUNA2,Trimmed Tuna2,Thon Découpé 2
PRODUCTION_RECIPE_NAME_CHEESE,Cheese,Fromage
PRODUCTION_RECIPE_NAME_TOMATOSAUCE,Tomato Sauce,Sauce Tomate
PRODUCTION_RECIPE_NAME_BREADDOUGH,Bread Dough,Pâte à Pain
PRODUCTION_RECIPE_NAME_BUTTER,Butter,Beurre
PRODUCTION_RECIPE_NAME_MAYONNAISE,Mayonnaise,Mayonnaise
PRODUCTION_RECIPE_NAME_COOKEDRICE,Cooked Rice,Riz Cuit
PRODUCTION_RECIPE_NAME_FISHSAUCE,Fish Sauce,Sauce de Poisson
PRODUCTION_RECIPE_NAME_LOLLIPOP,Lollipop,Sucette
PRODUCTION_RECIPE_NAME_MEATSKEWER,Meat Skewer,Brochette de viande
PRODUCTION_RECIPE_NAME_BISCUIT,Biscuit,Biscuit
PRODUCTION_RECIPE_NAME_FISHBALL,Fish Ball,Boule de Poisson
PRODUCTION_RECIPE_NAME_SEAFOODPANCAKE,Seafood Pan Cake,Fruits de mer
PRODUCTION_RECIPE_NAME_FISHSOUP,Fish Soup,Soupe de poisson
PRODUCTION_RECIPE_NAME_ROLLBREAD,Roll Bread,Pain
PRODUCTION_RECIPE_NAME_SAUSAGECASSEROLE,Sausage Casserole,Saucisse mijotée
PRODUCTION_RECIPE_NAME_HOTDOG,Hot Dog,Hot dog
PRODUCTION_RECIPE_NAME_FISHSTEW,Fish Stew,Ragoût de poissons
PRODUCTION_RECIPE_NAME_PIZZA,Pizza,Pizza
PRODUCTION_RECIPE_NAME_STEAMEDSEAFOOD,Steamed Seafood,Fruits de mer à la vapeur
PRODUCTION_RECIPE_NAME_GRILLEDMACKEREL,Grilled Mackerel,Maquereau Grillé
PRODUCTION_RECIPE_NAME_CHICKENSTICK,Chicken Stick,Cuisse de poulet
PRODUCTION_RECIPE_NAME_FRIEDSQUID,Fried Squid,Calamar Frit
PRODUCTION_RECIPE_NAME_STARCANDY,Star Candy,Sucrerie Cosmique
PRODUCTION_RECIPE_NAME_FISHCUTLET,Fish Cutlet,Croquette de Poisson
PRODUCTION_RECIPE_NAME_MEATSALAD,Meat Salad,Salade de Viande
PRODUCTION_RECIPE_NAME_SEAFOODPIZZA,Seafood Pizza,Pizza aux Fruits de Mer
PRODUCTION_RECIPE_NAME_FRIEDSHRIMP,Fried Shrimp,Crevettes Frites
PRODUCTION_RECIPE_NAME_SHRIMPFRIEDRICE,Shrimp Fried Rice,Riz Frit aux Crevettes
PRODUCTION_RECIPE_NAME_GRATIN,Gratin,Gratin
PRODUCTION_RECIPE_NAME_CORALISLANDCURRY,Coral Island Curry,Curry de l’Île Corail
PRODUCTION_RECIPE_NAME_TUNASUSHI,Tuna Sushi,Sushi
PRODUCTION_RECIPE_NAME_REDFISHBALL,Red Fish Ball,Boule de Poisson Rouge
PRODUCTION_RECIPE_NAME_BLUEFISHBALL,Blue Fish Ball,Boule de Poisson Bleu
PRODUCTION_RECIPE_NAME_GREENFISHBALL,Green Fish Ball,Boule de Poisson Vert
PRODUCTION_RECIPE_NAME_PURPLEFISHBALL,Purple Fish Ball,Boule de Poisson Violet
PRODUCTION_RECIPE_NAME_RAINBOWFISHBALL,Rainbow Fish Ball,Boule de Poisson Arc-en-ciel
PRODUCTION_RECIPE_NAME_ORANGEFISHBALL,Orange Fish Ball,Boule de Poisson Orange
PRODUCTION_RECIPE_NAME_SKYBLUEFISHBALL,Sky Blue Fish Ball,Boule de Poisson Bleu Ciel
PRODUCTION_RECIPE_NAME_YELLOWFISHBALL,Yellow Fish Ball,Boule de Poisson Jaune
PRODUCTION_RECIPE_NAME_PINKFISHBALL,Pink Fish Ball,Boule de Poisson Rose
PRODUCTION_RECIPE_NAME_GREYFISHBALL,Grey Fish Ball,Boule de Poisson Gris
PRODUCTION_RECIPE_NAME_WHITEFISHBALL,White Fish Ball,Boule de Poisson Blanc
PRODUCTION_RECIPE_NAME_PICKLEDHERRING,Pickled Herring,Hareng Mariné
PRODUCTION_RECIPE_NAME_SALMONSTEAK,Salmon Steak,Steak de Saumon
PRODUCTION_RECIPE_NAME_FISHSANDWICH,Fish Sandwich,Sandwich au Poisson
PRODUCTION_RECIPE_NAME_GRILLEDSALTEDEEL,Grilled Salted Eel,Anguille Salée Grillée
PRODUCTION_RECIPE_NAME_PLYWOOD,Plywood,Contreplaqué
PRODUCTION_RECIPE_NAME_RESIN,Resin,Résine
PRODUCTION_RECIPE_NAME_FINISHINGMATERIAL,Finishing Material,Matériau de Finition
PRODUCTION_RECIPE_NAME_CEDARHARDWOOD,Cedar Hardwood,Bois de Cèdre
PRODUCTION_RECIPE_NAME_CHERRYHARDWOOD,Cherry Hardwood,Bois de Cerisier
PRODUCTION_RECIPE_NAME_PINEHARDWOOD,Pine Hardwood,Bois de Pin
PRODUCTION_RECIPE_NAME_MAPLEHARDWOOD,Maple Hardwood,Bois d’Érable
PRODUCTION_RECIPE_NAME_OAKHARDWOOD,Oak Hardwood,Bois de Chêne
PRODUCTION_RECIPE_NAME_WALNUTHARDWOOD,Walnut Hardwood,Bois de Noyer
PRODUCTION_RECIPE_NAME_TEAKHARDWOOD,Teak Hardwood,Bois de Teck
PRODUCTION_RECIPE_NAME_EBONYHARDWOOD,Ebony Hardwood,Bois d’Ébène
PRODUCTION_RECIPE_NAME_MAHOGANYHARDWOOD,Mahogany Hardwood,Bois d’Acajou
PRODUCTION_RECIPE_NAME_REDPAINT,Red Paint,Peinture Rouge
PRODUCTION_RECIPE_NAME_BLUEPAINT,Blue Paint,Peinture Bleue
PRODUCTION_RECIPE_NAME_YELLOWPAINT,Yellow Paint,Peinture Jaune
PRODUCTION_RECIPE_NAME_GREENPAINT,Green Paint,Peinture Verte
PRODUCTION_RECIPE_NAME_BLACKPAINT,Black Paint,Peinture Noire
PRODUCTION_RECIPE_NAME_WHITEPAINT,White Paint,Peinture Blanche
PRODUCTION_RECIPE_NAME_GOLDPAINT,Gold Paint,Peinture Dorée
PRODUCTION_RECIPE_NAME_WOODENCHAIR,Wooden Chair,Chaise en Bois
PRODUCTION_RECIPE_NAME_WOODENTABLE,Wooden Table,Table en Bois
PRODUCTION_RECIPE_NAME_WOODENDRAWER,Wooden Drawer,Table en bois avec tiroir
PRODUCTION_RECIPE_NAME_WOODENBOOKCASE,Wooden Bookcase,Bibliothèque en Bois
PRODUCTION_RECIPE_NAME_WOODENSOFA,Wooden Sofa,Sofa en Bois
PRODUCTION_RECIPE_NAME_WOODENYELLOWCHAIR,Wooden Yellow Chair,Chaise en Bois Jaune
PRODUCTION_RECIPE_NAME_WOODENYELLOWTABLE,Wooden Yellow Table,Table en Bois Jaune
PRODUCTION_RECIPE_NAME_WOODENYELLOWDRESSINGTABLE,Wooden Yellow Dressing Table,Coiffeuse en Bois Jaune
PRODUCTION_RECIPE_NAME_WOODENYELLOWCLOSET,Wooden Yellow Closet,Placard en Bois Jaune
PRODUCTION_RECIPE_NAME_WOODENYELLOWBENCH,Wooden Yellow Bench,Banc en Bois Jaune
PRODUCTION_RECIPE_NAME_WOODENYELLOWCABINET,Wooden Yellow Cabinet,Armoire en Bois Jaune
PRODUCTION_RECIPE_NAME_WOODENYELLOWBED,Wooden Yellow Bed,Lit en Bois Jaune
PRODUCTION_RECIPE_NAME_WOODENBLUECHAIR,Wooden Blue Chair,Chaise en Bois Bleue
PRODUCTION_RECIPE_NAME_WOODENBLUETABLE,Wooden Blue Table,Table en Bois Bleue
PRODUCTION_RECIPE_NAME_WOODENBLUEDRESSINGTABLE,Wooden Blue Dressing Table,Coiffeuse en Bois Bleue
PRODUCTION_RECIPE_NAME_WOODENBLUECLOSET,Wooden Blue Closet,Placard en Bois Bleu
PRODUCTION_RECIPE_NAME_WOODENBLUEBENCH,Wooden Blue Bench,Banc en Bois Bleu
PRODUCTION_RECIPE_NAME_WOODENBLUECABINET,Wooden Blue Cabinet,Armoire en Bois Bleue
PRODUCTION_RECIPE_NAME_WOODENBLUEBED,Wooden Blue Bed,Lit en Bois Bleu
PRODUCTION_RECIPE_NAME_WOODENREDCHAIR,Wooden Red Chair,Chaise en Bois Rouge
PRODUCTION_RECIPE_NAME_WOODENREDTABLE,Wooden Red Table,Table en Bois Rouge
PRODUCTION_RECIPE_NAME_WOODENREDDRESSINGTABLE,Wooden Red Dressing Table,Coiffeuse en Bois Rouge
PRODUCTION_RECIPE_NAME_WOODENREDCLOSET,Wooden Red Closet,Placard en Bois Rouge
PRODUCTION_RECIPE_NAME_WOODENREDBENCH,Wooden Red Bench,Banc en Bois Rouge
PRODUCTION_RECIPE_NAME_WOODENREDCABINET,Wooden Red Cabinet,Armoire en Bois Rouge
PRODUCTION_RECIPE_NAME_WOODENREDBED,Wooden Red Bed,Lit en Bois Rouge
PRODUCTION_RECIPE_NAME_MUSICCHAIR,Music Chair,Chaise Musicale
PRODUCTION_RECIPE_NAME_MUSICTABLE,Music Table,Table Musicale
PRODUCTION_RECIPE_NAME_MUSICDRESSINGTABLE,Music Dressing Table,Coiffeuse Musicale
PRODUCTION_RECIPE_NAME_MUSICWARDROBE,Music Wardrobe,Penderie Musicale
PRODUCTION_RECIPE_NAME_MUSICSOFA,Music Sofa,Sofa Musical
PRODUCTION_RECIPE_NAME_MUSICCABINET,Music Cabinet,Armoire Musicale
PRODUCTION_RECIPE_NAME_MUSICBED,Music Bed,Lit Musical
PRODUCTION_RECIPE_NAME_MODERNCHAIR,Modern Chair,Chaise Moderne
PRODUCTION_RECIPE_NAME_MODERNTABLE,Modern Table,Table Moderne
PRODUCTION_RECIPE_NAME_MODERNDRESSINGTABLE,Modern Dressing Table,Coiffeuse Moderne
PRODUCTION_RECIPE_NAME_MODERNWARDROBE,Modern Wardrobe,Penderie Moderne
PRODUCTION_RECIPE_NAME_MODERNSOFA,Modern Sofa,Sofa Moderne
PRODUCTION_RECIPE_NAME_MODERNCABINET,Modern Cabinet,Armoire Moderne
PRODUCTION_RECIPE_NAME_MODERNBED,Modern Bed,Lit Moderne
PRODUCTION_RECIPE_NAME_DESIGNBLACKCHAIR,Design Black Chair,Chaise Design Noire
PRODUCTION_RECIPE_NAME_DESIGNWHITECHAIR,Design White Chair,Chaise Design Blanche
PRODUCTION_RECIPE_NAME_DESIGNTABLE,Design Table,Table Design
PRODUCTION_RECIPE_NAME_DESIGNDRAWER,Design Drawer,Commode Design
PRODUCTION_RECIPE_NAME_DESIGNBOOKCASE,Design Bookcase,Bibliothèque Design
PRODUCTION_RECIPE_NAME_DESIGNSOFA,Design Sofa,Sofa Design
PRODUCTION_RECIPE_NAME_HEARTCHAIR,Heart Chair,Chaise Cœur
PRODUCTION_RECIPE_NAME_HEARTTABLE,Heart Table,Table Cœur
PRODUCTION_RECIPE_NAME_HEARTDRESSINGTABLE,Heart Dressing Table,Coiffeuse Cœur
PRODUCTION_RECIPE_NAME_HEARTWARDROBE,Heart Wardrobe,Penderie Cœur
PRODUCTION_RECIPE_NAME_HEARTSOFA,Heart Sofa,Sofa Cœur
PRODUCTION_RECIPE_NAME_HEARTCABINET,Heart Cabinet,Armoire Cœur
PRODUCTION_RECIPE_NAME_HEARTBED,Heart Bed,Lit Cœur
PRODUCTION_RECIPE_NAME_CUSHIONCHAIR,Cushion Chair,Chaise Confortable
PRODUCTION_RECIPE_NAME_COMMANDDESK,Antique Desk,Bureau Antique
PRODUCTION_RECIPE_NAME_COMMANDPLATFORM,Command Platform,Plate-Forme de Commandement
PRODUCTION_RECIPE_NAME_SMALLTABLE,Small Table,Petite Table
PRODUCTION_RECIPE_NAME_DRAWER,Drawer,Commode
PRODUCTION_RECIPE_NAME_TWINBED,Twin Bed,Lit double
PRODUCTION_RECIPE_NAME_ROYALCHAIR,Royal Chair,Chaise Royale
PRODUCTION_RECIPE_NAME_ROYALTABLE,Royal Table,Table Royale
PRODUCTION_RECIPE_NAME_ROYALDRESSINGTABLE,Royal Dressing Table,Coiffeuse Royale
PRODUCTION_RECIPE_NAME_ROYALWARDROBE,Royal Wardrobe,Penderie Royale
PRODUCTION_RECIPE_NAME_ROYALSOFA,Royal Sofa,Sofa Royal
PRODUCTION_RECIPE_NAME_ROYALBED,Royal Bed,Lit Royal
PRODUCTION_RECIPE_NAME_ROYALDRAWER,Royal Drawer,Commode Royale
PRODUCTION_RECIPE_NAME_ROYALBOOKCASE,Royal Bookcase,Bibliothèque Royale
PRODUCTION_RECIPE_NAME_ROYALDESK,Royal Desk,Bureau Royal
PRODUCTION_RECIPE_NAME_ROYALBATH,Royal Bath,Baignoire Royale
PRODUCTION_RECIPE_NAME_GOLDENROYALCHAIR,Golden Royal Chair,Chaise Royale Dorée
PRODUCTION_RECIPE_NAME_GOLDENROYALTABLE,Golden Royal Table,Table Royale Dorée
PRODUCTION_RECIPE_NAME_GOLDENROYALDRESSINGTABLE,Golden Royal Dressing Table,Coiffeuse Royale Dorée
PRODUCTION_RECIPE_NAME_GOLDENROYALWARDROBE,Golden Royal Wardrobe,Penderie Royale Dorée
PRODUCTION_RECIPE_NAME_GOLDENROYALSOFA,Golden Royal Sofa,Sofa Royal Doré
PRODUCTION_RECIPE_NAME_GOLDENROYALBED,Golden Royal Bed,Lit Royal Doré
PRODUCTION_RECIPE_NAME_GOLDENROYALDRAWER,Golden Royal Drawer,Commode Royale Dorée
PRODUCTION_RECIPE_NAME_GOLDENROYALBOOKCASE,Golden Royal Bookcase,Bibliothèque Royale Dorée
PRODUCTION_RECIPE_NAME_GOLDENROYALDESK,Golden Royal Desk,Bureau Royal Doré
PRODUCTION_RECIPE_NAME_GOLDENROYALBATH,Golden Royal Bath,Baignoire Royale Dorée
PRODUCTION_RECIPE_NAME_ALCHEMYDESK,Alchemy Desk,Bureau d'Alchimie
PRODUCTION_RECIPE_NAME_HEARTH,Hearth,Foyer
PRODUCTION_RECIPE_NAME_CARPENTRYWORKSPACE,Carpentry Workspace,Atelier de menuiserie
PRODUCTION_RECIPE_NAME_SMITHINGWORKSPACE,Smithing Workspace,Atelier de forge
PRODUCTION_RECIPE_NAME_JEWELPOWDER,Jewel Powder,Poudre de bijou
PRODUCTION_RECIPE_NAME_MARBLE,Marble,Marbre
PRODUCTION_RECIPE_NAME_CRYSTAL,Crystal,Cristal
PRODUCTION_RECIPE_NAME_POLISHEDTURQUOISE,Polished Turquoise,Turquoise polie
PRODUCTION_RECIPE_NAME_BRONZE,Bronze,Bronze
PRODUCTION_RECIPE_NAME_MALACHITE,Malachite,Malachite
PRODUCTION_RECIPE_NAME_POLISHEDJADE,Polished Jade,Jade poli
PRODUCTION_RECIPE_NAME_POLISHEDSILVER,Polished Silver,Argent poli
PRODUCTION_RECIPE_NAME_POLISHEDGOLD,Polished Gold,Or poli
PRODUCTION_RECIPE_NAME_POLISHEDPLATINUM,Polished Platinum,Platine poli
PRODUCTION_RECIPE_NAME_POLISHEDDIAMOND,Polished Diamond,Diamant poli
PRODUCTION_RECIPE_NAME_GLASS,Glass,Verre
PRODUCTION_RECIPE_NAME_IMITATIONPEARL,Imitation Pearl,Perle imitation
PRODUCTION_RECIPE_NAME_FLASK,Flask,Flacon
PRODUCTION_RECIPE_NAME_HINGE,Hinge,Charnière
PRODUCTION_RECIPE_NAME_SPRING,Spring,Ressort
PRODUCTION_RECIPE_NAME_GOLDENSPHERE,Golden Sphere,Sphère dorée
PRODUCTION_RECIPE_NAME_JEWELSTRING,Jewel String,Fil de bijoux
PRODUCTION_RECIPE_NAME_SILVERWORK,Silverwork,Travail de l'argent
PRODUCTION_RECIPE_NAME_GOLDWORK,Goldwork,Travail de l'or
PRODUCTION_RECIPE_NAME_SPINNINGGLOBE,Spinning Globe,Globe tournant
PRODUCTION_RECIPE_NAME_CHANDELIER,Chandelier,Lustre
PRODUCTION_RECIPE_NAME_MIRROR,Mirror,Miroir
PRODUCTION_RECIPE_NAME_SILVERWORKOFATTACK,Silverwork of Attack,Travail de l'argent (Attaque)
PRODUCTION_RECIPE_NAME_SILVERWORKOFDEFENSE,Silverwork of Defense,Travail de l'argent (Défense)
PRODUCTION_RECIPE_NAME_GOLDWORKOFATTACK,Goldwork of Attack,Travail de l'or (Attaque)
PRODUCTION_RECIPE_NAME_GOLDWORKOFMAGICATTACK,Goldwork of Magic Attack,Travail de l'or (Attaque magique)
PRODUCTION_RECIPE_NAME_GOLDWORKOFDEFENSE,Goldwork of Defense,Travail de l'or (Défense)
PRODUCTION_RECIPE_NAME_GOLDWORKOFMAGICRESISTANCE,Goldwork of Magic Resistance,Travail de l'or (Résistance magique)
PRODUCTION_RECIPE_NAME_CUTJADEOFFIREATTACK,Cut Jade of Fire Attack,Jade taillé (Attaque de feu)
PRODUCTION_RECIPE_NAME_CUTJADEOFWATERATTACK,Cut Jade of Water Attack,Jade taillé (Attaque d'eau)
PRODUCTION_RECIPE_NAME_CUTJADEOFWINDATTACK,Cut Jade of Wind Attack,Jade taillé (Attaque du vent)
PRODUCTION_RECIPE_NAME_CUTJADEOFEARTHATTACK,Cut Jade of Earth Attack,Jade taillé (Attaque de terre)
PRODUCTION_RECIPE_NAME_CUTJADEOFLIGHTNINGATTACK,Cut Jade of Lightning Attack,Jade taillé (Attaque de foudre)
PRODUCTION_RECIPE_NAME_CUTJADEOFFIREDEFENSE,Cut Jade of Fire Defense,Jade taillé (Défense de feu)
PRODUCTION_RECIPE_NAME_CUTJADEOFWATERDEFENSE,Cut Jade of Water Defense,Jade taillé (Défense d'eau)
PRODUCTION_RECIPE_NAME_CUTJADEOFWINDDEFENSE,Cut Jade of Wind Defense,Jade taillé (Défense du vent)
PRODUCTION_RECIPE_NAME_CUTJADEOFEARTHDEFENSE,Cut Jade of Earth Defense,Jade taillé (Défense de terre)
PRODUCTION_RECIPE_NAME_CUTJADEOFLIGHTNINGDEFENSE,Cut Jade of Lightning Defense,Jade taillé (Défense de foudre)
PRODUCTION_RECIPE_NAME_VIGORRING,Vigor Ring,Anneau de vigueur
PRODUCTION_RECIPE_NAME_STAMRING,Stam Ring,Anneau de stamina
PRODUCTION_RECIPE_NAME_AREKRING,Arek Ring,Anneau Arek
PRODUCTION_RECIPE_NAME_INTELIRING,Inteli Ring,Anneau Intel
PRODUCTION_RECIPE_NAME_PLUGEARRING,Plug Earring,Boucle d'oreille Plug
PRODUCTION_RECIPE_NAME_DEMOLEARRING,Demol Earring,Boucle d'oreille Demol
PRODUCTION_RECIPE_NAME_GORENECKLACE,Gore Necklace,Collier Gore
PRODUCTION_RECIPE_NAME_MENTALNECKLACE,Mental Necklace,Collier Mental
PRODUCTION_RECIPE_NAME_PEISIONNECKLACE,Peision Necklace,Collier Paison
PRODUCTION_RECIPE_NAME_MIGHTEER,Mighteer,Mighteer
PRODUCTION_RECIPE_NAME_PENZERU,Penzeru,Penzeru
PRODUCTION_RECIPE_NAME_SPEEDO,Speedo,Speedo
PRODUCTION_RECIPE_NAME_PEP,Pep,Pep
PRODUCTION_RECIPE_NAME_SOCECLE,Socecle,Socecle
PRODUCTION_RECIPE_NAME_ENDUKY,Enduky,Enduky
PRODUCTION_RECIPE_NAME_STRENTE,Strente,Strente
PRODUCTION_RECIPE_NAME_INTIRET,Intiret,Intiret
PRODUCTION_RECIPE_NAME_DEXION,Dexion,Dexion
PRODUCTION_RECIPE_NAME_HANDCRAFTEDSILVERRING,Handcrafted silver ring,Bague en argent fabriquée à la main
PRODUCTION_RECIPE_NAME_HANDCRAFTEDGOLDRING,Handcrafted gold ring,Bague en or fabriquée à la main
PRODUCTION_RECIPE_NAME_HANDCRAFTEDPLATINUMRING,Handcrafted platinum ring,Bague en platine fabriquée à la main
PRODUCTION_RECIPE_NAME_HANDCRAFTEDDIAMONDRING,Handcrafted diamond ring,Bague en diamant fabriquée à la main
