Key,English,Polish
PROPSKILL_TXT_000058,Blade Dance,Taniec Mieczy
PROPSKILL_TXT_000059,Rapidly strikes the blades at multiple enemies. Requires two weapons.,Atakuje wszystkich wrogów wokół ciebie. Wymaga dwóch broni.
PROPSKILL_TXT_000060,Spring Attack,Sprężysty Atak
PROPSKILL_TXT_000061,Strikes at an enemy multiple times. Each hit has a chance to deal double damage. Requires two weapons.,Uderza wielokrotnie przeciwnika za pomocą specjalnej kombinacji ciosów. Wymaga dwóch broni.
PROPSKILL_TXT_000062,Hawk Attack,Atak Jastrzębia
PROPSKILL_TXT_000063,"Powerful, downward strike. Lowers targets accuracy. Requires two weapons.","Potężny cios znad głowy, który może obniżać celność wroga. Wymaga dwóch broni."
PROPSKILL_TXT_000064,Sonic Blade,Soniczne Ostrze
PROPSKILL_TXT_000065,"Powerful, slashing attack. Attacks all enemies around. Requires two weapons.","Potężne cięcie, przebijające wszystkich wrogów zebranych przed tobą. Wymaga dwóch broni."
PROPSKILL_TXT_000066,Berserk,Berserk
PROPSKILL_TXT_000067,"Increases attack speed and striking power, and reduces skill damage.",Wpadasz w szał by zwiększyć szybkość i siłę ataku. Ten stan powoduje redukcję obrażeń od umiejętności.
PROPSKILL_TXT_000068,Heal,Leczenie
PROPSKILL_TXT_000069,Recover the HP of a target.,Odnawia HP celu.
PROPSKILL_TXT_000070,Temping Hole,Zamaszysta Pięść
PROPSKILL_TXT_000071,"Powerful, straight punch.",Uderza przeciwnika z solidnego zamachu.
PROPSKILL_TXT_000072,Resurrection,Wskrzeszenie
PROPSKILL_TXT_000073,Resurrects a dead player.,Wskrzesza martwego gracza. Wskrzeszony gracz traci mniej punktów doświadczenia.
PROPSKILL_TXT_000074,Patience,Cierpliwość
PROPSKILL_TXT_000075,Increases maximum HP of the target.,Zwiększa maksymalne HP celu.
PROPSKILL_TXT_000076,Prevention,Prewencja
PROPSKILL_TXT_000077,Recovers your own HP when it reaches below a certain point.,"Jeśli twoje HP spadną poniżej pewnego limitu, otrzymasz jednorazową dawkę leczenia."
PROPSKILL_TXT_000078,Heap Up,Napakowanie
PROPSKILL_TXT_000079,Increases STA of the target.,Zwiększa STA celu.
PROPSKILL_TXT_000080,Cannon Ball,Kula Armatnia
PROPSKILL_TXT_000081,Increases DEX of the target.,Zwiększa DEX celu.
PROPSKILL_TXT_000082,Circle Healing,Krąg Leczenia
PROPSKILL_TXT_000083,Heals party members close to you.,Leczy wszystkich członków drużyny wokół ciebie.
PROPSKILL_TXT_000084,Mental Sign,Znak Umysłu
PROPSKILL_TXT_000085,Increases INT of a target,Zwiększa INT celu.
PROPSKILL_TXT_000086,Beef Up,Napompowanie
PROPSKILL_TXT_000087,Increases striking power of a target.,Zwiększa striking power of a target.
PROPSKILL_TXT_000088,Burst Crack,Wybuchowe Pęknięcie
PROPSKILL_TXT_000089,Pounds the ground and damages enemies around you.,"Uderza ziemię z olbrzymią siłę, zadając obrażenia wszystkim celom wokół ciebie."
PROPSKILL_TXT_000090,Stonehand,Kamienne Ręce
PROPSKILL_TXT_000091,All attacks gain the chance to stun.,Wszystkie twoje ataki zyskują szansę na ogłuszenie.
PROPSKILL_TXT_000092,Quick Step,Szybki Krok
PROPSKILL_TXT_000093,Increases the walk speed of a target.,Zwiększa szybkość poruszania się celu.
PROPSKILL_TXT_000094,Cat's Reflex,Koci Refleks
PROPSKILL_TXT_000095,Increases the block rate of a target.,Zwiększa szansę na blok.
PROPSKILL_TXT_000096,Accuracy,Celność
PROPSKILL_TXT_000097,Increases the accuracy of a target.,Zwiększa Celność celu.
PROPSKILL_TXT_000098,Power Fist,Pięść Mocy
PROPSKILL_TXT_000099,Three concentrated power strikes.,Trze skoncentrowane uderzenia pięścią.
PROPSKILL_TXT_000100,Haste,Pośpiech
PROPSKILL_TXT_000101,Increases attack speed and decreases casting time of a target.,Zwiększa Szybkość Ataku i Szybkość rzucania zaklęć celu.
PROPSKILL_TXT_000102,Heal Rain,Deszcz Leczenia
PROPSKILL_TXT_000103,Recovers HP for party members near you.,Odnawia PŻ członkom drużyny wokół ciebie.
PROPSKILL_TXT_000104,Holycross,Święty Krzyż
PROPSKILL_TXT_000105,Target enemy takes double damage in the next attack.,Cel otrzymuje podwójne obrażenia na następny atak.
PROPSKILL_TXT_000106,Protect,Opieka
PROPSKILL_TXT_000107,Decreases the damage from physical & magical attacks on a target.,Zwiększa obronę fizyczną i magiczną celu.
PROPSKILL_TXT_000108,Holyguard,Święta Osłona
PROPSKILL_TXT_000109,Protects the target from incoming critical hits for a limited amount of time.,Chroni cel przed otrzymaniem ciosu krytycznego przez krótki czas.
PROPSKILL_TXT_000110,Spirit Fortune,Duchowe Powodzenie
PROPSKILL_TXT_000112,Gvur Tialla,Gvur Tialla
PROPSKILL_TXT_000113,Removes de-buffs from a target.,Usuwa klątwy z celu.
PROPSKILL_TXT_000114,Geburah Tiphreth,Geburah Tiphreth
PROPSKILL_TXT_000115,"This ability draws upon the inner strength of the user & nearby party members, increasing both Attack Power and Attack Speed for a limited time.","Przebudza ukrytą siłę, zwiększając szybkość i siłę ataku członków drużyny wokół ciebie."
PROPSKILL_TXT_000116,Merkaba Hanzelrusha,Merkaba Hanzelrusha
PROPSKILL_TXT_000117,Enemies take damage over time in an area around you.,"Stwarza na ziemi pole energii, które zadaje obrażenia co pewien czas wszystkim wrogom w zasięgu."
PROPSKILL_TXT_000118,Belial Smashing,Rozbicie Beliala
PROPSKILL_TXT_000119,Deals five powerful blows to the enemy.,"Pięć ślizgowych, rozbijających ataków."
PROPSKILL_TXT_000120,Piercing Serpent,Przebijający Wąż
PROPSKILL_TXT_000121,Fires a piercing beam at the target.,Przebija cel za pomocą promienia energii.
PROPSKILL_TXT_000122,Blood Fist,Krwawa Pięść
PROPSKILL_TXT_000123,Strikes a heavy blow to the enemy that causes bleeding to the target.,"Brutalny cios, wywołujący krwawienie u wroga."
PROPSKILL_TXT_000124,Sonichand,Soniczna Pięść
PROPSKILL_TXT_000125,"Fast, straight punch.","Szybki, prosty cios."
PROPSKILL_TXT_000126,Asmodeus,Asmodeus
PROPSKILL_TXT_000127,Increases striking power.,Zwiększa obrażenia zadawane pięścią.
PROPSKILL_TXT_000128,Baraqijal Esna,Baraqijal Esna
PROPSKILL_TXT_000129,"Increases damage dealt to the target, but also increases targets attack.","Przeklina cel, zmniejszając jego obronę i zwiększając jego siłę ataku."
PROPSKILL_TXT_000130,Bgvur Tialbold,Bgvur Tialbold
PROPSKILL_TXT_000131,Strikes at nearby enemies with an outward shockwave.,Atakuje wszystkich wrogów wokół ciebie za pomocą duchowej Fali Uderzeniowej.
PROPSKILL_TXT_000132,Asalraalaikum,Asalraalaikum
PROPSKILL_TXT_000133,Fully concentrated strike. Always Consumes 100% MP.,"Atak wymagający pełnej koncentracji - konsumuje 100% MP by zadać olbrzymie obrażenia. Im więcej MP pochłonie, tym większe obrażenia."
PROPSKILL_TXT_000134,Flame Ball,Kula Ognia
PROPSKILL_TXT_000135,Strikes at the enemy with a ball of flame. Chance to reduce the targets healing capabilities.,Atakuje przeciwnika kulą ognia. Może zmniejszać leczenie u celu.
PROPSKILL_TXT_000136,Flame Geyser,Ognisty Gejzer
PROPSKILL_TXT_000137,Damages the enemy continuously with a geyser of flame.,"Otacza wroga gejzerem ognia, zadając ciągłe obrażenia."
PROPSKILL_TXT_000138,Swordwind,Miecz Wiatru
PROPSKILL_TXT_000140,Strongwind,Silny Podmuch
PROPSKILL_TXT_000141,"Ranged, wind attack that moves the enemy.",Odpycha wroga potężnym podmuchem.
PROPSKILL_TXT_000142,Blinkpool,Teleportacja
PROPSKILL_TXT_000143,Allows you to teleport.,Przenosi Cię na wybrane przez ciebie miejsce.
PROPSKILL_TXT_000144,Ice Missile,Lodowy Pocisk
PROPSKILL_TXT_000145,Blasts the enemy with a missile of ice. Chance to reduce the speed of the target.,Trafia wroga lodowym pociskiem. Szansa na obniżenie prędkości celu.
PROPSKILL_TXT_000146,Lightning Ball,Kula Energii
PROPSKILL_TXT_000147,Damages the enemy with a ball of static. Chance to reduce the targets defense.,Zadaje przeciwnikowi obrażenia za pomocą Kuli Statycznej Energii. Może zmniejszać obronę celu.
PROPSKILL_TXT_000148,Stone Spike,Kamienny Kieł
PROPSKILL_TXT_000149,Damages an enemy with a stone spike. Chance to stun the enemy.,Trafia przeciwnika ostrym kamieniem. Szansa na ogłuszenie.
PROPSKILL_TXT_000150,Mental Strike,Psychiczny Atak
PROPSKILL_TXT_000151,Ranged Mental attack.,Atakuje umysł wroga by zadać ból.
PROPSKILL_TXT_000152,Fire Strike,Ognista Eksplozja
PROPSKILL_TXT_000153,Damages an enemy with a fire ball.,Podpala wroga za pomocą kuli ognia. Cel będzie rozgrzany i chwilowo bardziej podatny na ataki wodne.
PROPSKILL_TXT_000154,Wind Cutter,Powietrzny Siekacz
PROPSKILL_TXT_000155,"Ranged, wind attack. Reduces fire resistance of the target.",Tnie przeciwnika silnym wiatrem. Zmniejsza odporność na ogień.
PROPSKILL_TXT_000156,Waterball,Kula Wody
PROPSKILL_TXT_000157,A water attack that shoots multiple water orbs at your target.,Atakuje przeciwnika wielokrotnie za pomocą wybuchowych bąbelków.
PROPSKILL_TXT_000158,Water Well,Studnia Wody
PROPSKILL_TXT_000159,Splashes the enemy with a water attack.,Wylewa na wroga olbrzymią ilość wody.
PROPSKILL_TXT_000160,Lightning Ram,Piorunujący Taran
PROPSKILL_TXT_000161,Damages the enemy with an electric ball,Uderza wroga potężnym wyładowaniem elektrycznym.
PROPSKILL_TXT_000162,Lightning Shock,Piorunujący Wstrząs
PROPSKILL_TXT_000163,Damages the enemy with a small but fast lightning ball.,Wstrząsa cel potężnym wyładowaniem elektrycznym. Cel będzie wstrząśnięty i bardziej podatny na ataki Ziemią.
PROPSKILL_TXT_000164,Rock Crash,Kamienne Rozbicie
PROPSKILL_TXT_000165,Damages the enemy with a giant stone.,Rzuca we wroga olbrzymim głazem. Cel będzie zmiażdżony i chwilowo bardziej podatny na ataki Wiatrem.
PROPSKILL_TXT_000166,Rooting,Zakorzenienie
PROPSKILL_TXT_000167,Prevents an enemy from approaching.,Prevents an enemy from approaching.
PROPSKILL_TXT_000168,Demonology,Demonologia
PROPSKILL_TXT_000169,Damages the enemy with a mental blast and reduces their attack power.,Rozrywa umysł celu i obniża jego siłę ataku.
PROPSKILL_TXT_000170,Satanology,Satanologia
PROPSKILL_TXT_000172,Psychic Bomb,Psychiczna Bomba
PROPSKILL_TXT_000173,Damages the enemy with a ball of mental energy.,"Wywołuje potężny wybuch psychicznej energii, który może ogłuszyć cel."
PROPSKILL_TXT_000174,Psychic Wall,Psychiczna Ściana
PROPSKILL_TXT_000175,Creates a wall that pushes an enemy back and damages them & reduces their speed if they touch it.,Stwarza barierę która boleśnie odpycha wroga i zmniejsza jego szybkość.
PROPSKILL_TXT_000176,Spirit Bomb,Eksplozja Duszy
PROPSKILL_TXT_000177,Does damage to an enemy through the power of your mind.,Does damage to an enemy through the power of your mind.
PROPSKILL_TXT_000178,Crucio Spell,Klątwa Bólu
PROPSKILL_TXT_000179,Deals damage to an enemy equal to 1.75x the amount the enemy deals.,"Zadaje wrogom 1,75x obrażeń jakie zadają tobie."
PROPSKILL_TXT_000180,Maximum Crisis,Maksymalny Kryzys
PROPSKILL_TXT_000181,Damages surrounding enemies in a strong mental barrier. Small chance to stun targets.,"Zadaje obrażenia wrogom wokół ciebie, ściskając ich psychiczną falą. Może ogłuszać wrogów."
PROPSKILL_TXT_000182,Psychic Square,Psychiczne Pole
PROPSKILL_TXT_000183,Damages the enemies around you with a psychic blast.,Zadaje obrażenia wszystkim wrogom wokół wybranego celu za pomocą psychicznego pola.
PROPSKILL_TXT_000184,Firebird,Ognisty Ptak
PROPSKILL_TXT_000185,Damages the enemy with a fire blast.,Ogarnia wroga piekielnym ogniem.
PROPSKILL_TXT_000186,Fire Mastery,Mistrz Ognia
PROPSKILL_TXT_000187,"Increases the striking power of fire spells,",Zwiększa siłę Ognistych Czarów.
PROPSKILL_TXT_000190,Lightning Strike,Piorunujące Wyładowanie
PROPSKILL_TXT_000191,Damages the enemy with a bolt of lightning.,Wyładowuje olbrzymią ilość energii na cel.
PROPSKILL_TXT_000192,Lightning Mastery,Mistrz Prądu
PROPSKILL_TXT_000193,Increases the striking power of electric spells.,Zwiększa siłę Elektrycznych czarów.
PROPSKILL_TXT_000194,Electric Shock,Piorun Łańcuchowy
PROPSKILL_TXT_000195,Damage surrounding enemies with electricity. Magic Resistance of the enemies decreases.,Atakuje wszystkie cele wokół ciebie przeskakującym wyładowaniem. Obrona magiczna celu spadnie.
PROPSKILL_TXT_000196,Stone Spear,Kamienna Włócznia
PROPSKILL_TXT_000197,Damages an enemy with a stone spear.,Rzuca w przeciwnika Kamienna Włócznią.
PROPSKILL_TXT_000198,Earth Mastery,Mistrz Ziemi
PROPSKILL_TXT_000199,Increases the striking power of earth spells.,Zwiększa siłę Czarów Ziemi.
PROPSKILL_TXT_000200,Earthquake,Trzęsienie Ziemi
PROPSKILL_TXT_000201,Damages surrounding enemies area. Has a chance to lower the attack of the target.,Wstrząsa Ziemię by zadać obrażenia wszystkim wrogom wokół celu. Może obniżyć moc ataku u wroga.
PROPSKILL_TXT_000202,Iceshark,Lodowy Rekin
PROPSKILL_TXT_000203,Ranged attack that fires an ice projectile.,Ciska we wroga ostrymi odłamkami lodu.
PROPSKILL_TXT_000204,Water Mastery,Mistrz Wody
PROPSKILL_TXT_000205,Increases striking power of water spells.,Zwiększa siłę Wodnych Czarów.
PROPSKILL_TXT_000206,Poison Cloud,Trująca Chmura
PROPSKILL_TXT_000207,Poisons all enemies in the surrounding area.,Zatruwa wszystkich wrogów wokół wybranego celu. Zatruty cel będzie otrzymywał ciągłe obrażenia.
PROPSKILL_TXT_000208,Void,Pustka
PROPSKILL_TXT_000209,To attack the enemy by generating a perfect vacuum.,Wysysa powietrze z płuc celu z olbrzymią siłą.
PROPSKILL_TXT_000210,Wind Mastery,Mistrz Wiatru
PROPSKILL_TXT_000211,Increases the striking power of wind spells.,Zwiększa siłę Czarów Wiatru.
PROPSKILL_TXT_000212,Windfield,Pole Burzowe
PROPSKILL_TXT_000213,Damages surrounding enemies with a wind attack. The speed of the enemies will be reduced.,Atakuje wszystkich wrogów wokół celu potężnym wiatrem. Szybkość poruszania się wroga spadnie.
PROPSKILL_TXT_000214,Meteo Shower,Deszcz Meteorów
PROPSKILL_TXT_000215,Damages surrounding enemies with a falling meteor.,Atakuje wszystkich wrogów wokół ciebie deszczem meteorów.
PROPSKILL_TXT_000216,Lightning Storm,Piorunująca Burza
PROPSKILL_TXT_000217,Damages surrounding enemies with electric blasts. Chance to reduce Critical Damage.,Atakuje wszystkich wrogów wokół ciebie wyładowaniami atmosferycznymi. Może obniżyć obrażenia od ciosów krytycznych.
PROPSKILL_TXT_000218,Sandstorm,Burza Piaskowa
PROPSKILL_TXT_000219,Damages surrounding enemies with a sandstorm. Chance to reduce Accuracy.,Atakuje wszystkich wrogów wokół ciebie za pomocą Burzy Piaskowej. Celność wrogów mocno spadnie.
PROPSKILL_TXT_000220,Blizzard,Zamieć
PROPSKILL_TXT_000221,Damages surrounding enemies with a snowstorm. Chance to Stun.,"Wywołuje olbrzymią burzę śnieżną, która zada obrażenia wszystkim wrogom wokoło i może ich ogłuszyć."
PROPSKILL_TXT_000222,Yo-Yo Mastery,Mistrzostwo Yo-Yo
PROPSKILL_TXT_000223,Increases damage done with a Yo-yo.,Zwiększa siłę ataku Yo-Yo.
PROPSKILL_TXT_000224,Bow Mastery,Mistrzostwo Łuku
PROPSKILL_TXT_000225,Increases damage done with a Bow.,Zwiększa siłę ataku Łuku.
PROPSKILL_TXT_000226,Dark Illusion,Mroczna Iluzja
PROPSKILL_TXT_000227,Become Invisible for a short time.,Na moment daje Ci pełną niewidzialność.
PROPSKILL_TXT_000228,Junk Arrow,Junk Arrow
PROPSKILL_TXT_000229,Fire arrows wildly.,Strzelaj strzałami wściekle
PROPSKILL_TXT_000230,Fast Walker,Szybki Chód
PROPSKILL_TXT_000231,Increases walk speed for a short time,Zwiększa szybkość ruchu na krótki czas.
PROPSKILL_TXT_000232,Aimed Shot,Celny Strzał
PROPSKILL_TXT_000233,Slow shot that has a chance to deal double damage.,Wolny strzał z szansą na podwójne obrażenia.
PROPSKILL_TXT_000234,Slow Step,Wolny Krok
PROPSKILL_TXT_000235,Slows an enemy,Atakuje nogi wroga i spowalnia go.
PROPSKILL_TXT_000236,Silent Shot,Cichy Strzał
PROPSKILL_TXT_000237,A surprise attack that does more damage during Dark Illusion.,"Niespodziewany atak, który z Mrocznej Iluzji zadaje większe obrażenia."
PROPSKILL_TXT_000238,Perfect Block,Perfekcyjny Blok
PROPSKILL_TXT_000239,Increases block rate.,Zwiększa szansę na blok.
PROPSKILL_TXT_000240,Arrow Rain,Deszcz Strzał
PROPSKILL_TXT_000241,Creates a rain of arrows that does damage over time.,"Sprowadza grad strzał, który zadaje obrażenia wszystkim wrogom wokół celu przez pewien czas."
PROPSKILL_TXT_000242,Cross Line,Cross Line
PROPSKILL_TXT_000243,A Yo-yo strike that can cause stun.,"Uderzenie Yo-yo, które może spowodować ogłuszenie."
PROPSKILL_TXT_000244,Auto Shot,Automatyczne Strzelanie
PROPSKILL_TXT_000245,Fires arrows multiple times. Can reduce enemies Accuracy.,Strzela kilkukrotnie we wroga. Może obniżyć jego celność.
PROPSKILL_TXT_000246,Snatch,Uszczknięcie
PROPSKILL_TXT_000247,Steal penya from a target while in Dark Illusion. Attack from behind.,Okrada cel z Penya. Ten atak można wykonać tylko z Mrocznej Iluzji i od tyłu.
PROPSKILL_TXT_000248,Counter Attack,Kontratak
PROPSKILL_TXT_000249,Execute an attack after the enemy does.,Powstrzymuje atak wroga i ogłusza go.
PROPSKILL_TXT_000250,Deadly swing,Śmiertelny Wymach
PROPSKILL_TXT_000251,Strong Yo-yo blast. Chance to make the enemy lose health over time.,"Potężne uderzenie Yo-Yo, które wywołuje krwawienie u celu."
PROPSKILL_TXT_000252,Pulling,Lasso
PROPSKILL_TXT_000253,Brings a target to you using Yo-yo.,Przyciąga cel do ciebie za pomocą Yo-yo.
PROPSKILL_TXT_000254,Critical Swing,Krytyczny Wymach
PROPSKILL_TXT_000255,Increases chance of critical strike.,Zwiększa szansę na Cios Krytyczny.
PROPSKILL_TXT_000256,Enchant Poison,Zaczarowana Trucizna
PROPSKILL_TXT_000257,Adds poison damage to your yo-yo and increases attack power.,Dodaje truciznę do Yo-Yo i zwiększa siłę ataku.
PROPSKILL_TXT_000258,Enchant Blood,Zaczarowana Krew
PROPSKILL_TXT_000259,Adds blood damage to your yo-yo and increases attack power.,Dodaje szansę na krwawienie do Yo-Yo i zwiększa siłę ataku.
PROPSKILL_TXT_000260,Enchant Absorb,Zaczarowane Pochłanianie
PROPSKILL_TXT_000261,Adds the ability to drain HP to your yo-yo and increases attack power.,Dodaje szansę na kradzież HP do Yo-Yo i zwiększa siłę ataku.
PROPSKILL_TXT_000262,Multi-Stab,Multi-Stab
PROPSKILL_TXT_000263,Strikes the enemy multiple times with the Yo-Yo.,Zaatakuj cel wielokrotnie od tyłu.
PROPSKILL_TXT_000264,Hit of Penya,Hit of Penya
PROPSKILL_TXT_000265,Strengthens the attack of a yo-yo by consuming penya.,Wzmacnia atak yo-yo poprzez zużycie penya.
PROPSKILL_TXT_000266,Escape,Escape
PROPSKILL_TXT_000267,Removes all de-buffs.,Usuwa wszystkie negatywne efekty.
PROPSKILL_TXT_000268,Vital Stab,Vital Stab
PROPSKILL_TXT_000269,Surprise attack while in Dark Illusion.,"Atak z zaskoczenia, gdy jesteś w Dark Illusion."
PROPSKILL_TXT_000270,Critical Shot,Critical Shot
PROPSKILL_TXT_000271,Increase Critical Hit for a limited time.,Zwiększa cios krytyczny na określony czas.
PROPSKILL_TXT_000272,Ice Arrow,Ice Arrow
PROPSKILL_TXT_000273,Slows an enemy down by shooting it with arrows covered in ice.,"Spowalnia wroga, strzelając do niego strzałami pokrytymi lodem."
PROPSKILL_TXT_000274,Flame Arrow,Flame Arrow
PROPSKILL_TXT_000275,Gives the fire element to arrows and damages surrounding enemies.,Nadaje strzałom żywioł ognia i zadaje obrażenia pobliskim wrogom.
PROPSKILL_TXT_000276,Piercing Arrow,Piercing Arrow
PROPSKILL_TXT_000277,Increased arrow strike.,Zwiększa uderzenie strzały.
PROPSKILL_TXT_000278,Poison Arrow,Poison Arrow
PROPSKILL_TXT_000279,Shoots a deadly arrow full of poison at the target. Inflicts Poison.,Wystrzeliwuje w cel śmiertelną strzałę pełną trucizny. Nakłada truciznę.
PROPSKILL_TXT_000280,Silent Arrow,Silent Arrow
PROPSKILL_TXT_000281,Attacks the enemy and prevents them from casting spells.,Atakuje wroga i uniemożliwia mu rzucanie zaklęć.
PROPSKILL_TXT_000282,Nature,Nature
PROPSKILL_TXT_000283,Heightens the users senses with nature to increase Magic Defense & Bow Range.,"Wzmacnia zmysły naturą, aby się zwiększyć Obronę Magiczna i Zasięg Łuku."
PROPSKILL_TXT_000284,Triple shot,Triple shot
PROPSKILL_TXT_000285,Fires three arrows at once. Stuns the target.,Wystrzeliwuje trzy strzały na raz. Ogłusza cel.
PROPSKILL_TXT_000286,Flash,Błysk
PROPSKILL_TXT_000287,Blinded by the flash of light.,Oślepiony przez światło.
PROPSKILL_TXT_000288,Single Stun,Single Stun
PROPSKILL_TXT_000290,Stun Group,Stun Group
PROPSKILL_TXT_000291,You are stunned and you cannot move.,Jesteś ogłuszony i nie możesz się ruszyć.
PROPSKILL_TXT_000292,Damage,Obrażenia
PROPSKILL_TXT_000294,Atk. Counter,Atk. Counter
PROPSKILL_TXT_000295,Attack just as an enemy attacks,"Atakuj tak, jak atakuje wróg"
PROPSKILL_TXT_000296,Knock back,Knock back
PROPSKILL_TXT_000297,Pushes the enemy back.,Odpycha wroga.
PROPSKILL_TXT_000298,Burningfield,Płonące Pole
